CASRN	DOM_MFG_LB	IMPORTED_LB	VOLUME_EXPORTED
129813-58-7	92578203	9545543	42657744
27177-77-1	119527	0	622
75-00-3	644016	0	18395
38888-98-1	0	0	0
52697-38-8	0	14941	0
97-93-8	0	0	0
763-32-6	0	0	0
65996-70-5	109201311	0	0
79-20-9	6300506	31751	0
28188-24-1	0	0	0
4039-32-1	0	0	0
298-14-6	0	0	0
17526-94-2	0	0	0
127-82-2	0	0	0
15619-48-4	12853	0	0
110-43-0	71050	46853	0
66346-01-8	0	0	0
176158-82-0	0	0	0
25646-71-3	0	82726	0
2568-90-3	0	0	0
25655-41-8	13428	0	0
66240-41-3	0	0	0
84235-46-1	0	0	0
19168-23-1	100728	0	0
102-77-2	0	146998	6298
25551-13-7	0	0	0
137-32-6	0	0	0
9002-83-9	0	0	0
1343-98-2	5835466	0	0
156653-67-7	0	18373	0
105157-11-7	0	0	0
7452-79-1	0	28260	11929
24613-89-6	0	0	0
54684-78-5	11343	0	0
100-44-7	0	3151087	0
64755-04-0	0	0	0
68784-21-4	263076	0	50296
68938-80-7	0	0	0
25586-42-9	0	0	0
646-13-9	201249	0	0
68477-26-9	3268334841	0	0
68911-77-3	0	0	0
25155-30-0	29412466	2051473	307608
198784-95-1	0	0	0
68334-18-9	27164	0	0
688-74-4	305244	0	17214
67762-40-7	0	0	0
110-86-1	0	0	0
68526-96-5	0	0	0
68308-64-5	0	0	0
4306-88-1	0	0	0
1558-33-4	0	0	0
16691-43-3	0	58786	0
68410-04-8	0	0	0
17194-00-2	0	818272	0
7488-55-3	0	0	0
1000-82-4	0	0	0
22029-36-3	0	26681	0
74-99-7	1726786	0	0
115-25-3	0	0	31455
68478-01-3	191256483	0	626149
68953-36-6	1772813	0	103419
7789-41-5	0	74799	0
65997-03-7	0	0	0
57-13-6	6576044801	3808942342	37538133
13472-08-7	0	0	0
68971-49-3	0	62898	0
27668-52-6	83551	0	0
814-94-8	0	0	0
5650-20-4	0	0	0
109-72-8	649187	0	424826
84605-23-2	0	0	0
75641-02-0	0	0	0
67700-65-6	0	0	0
63314-79-4	0	0	0
71487-01-9	0	12323	0
69029-67-0	90738716	0	54431
68919-08-4	12201635	0	0
68140-45-4	186317	0	8636
68308-61-2	117707	0	0
5994-61-6	0	0	0
120962-03-0	18223777	1646650	1057360
79-41-4	13260	731811	0
151552-14-6	0	0	0
53243-59-7	0	44815	0
10124-53-5	308345	0	85380
95-53-4	0	10622811	0
68413-47-8	50129	0	0
50-81-7	0	768813	272065
1217266-27-7	0	0	0
611-19-8	0	0	0
68308-67-8	0	0	0
13676-91-0	0	17917	0
21282-97-3	0	0	0
120-92-3	0	0	0
20292-08-4	286738	0	0
68814-67-5	401264102	0	19288738
25354-97-6	0	81614	0
68239-06-5	39587	0	0
81-07-2	0	29337	0
108419-34-7	156342	0	0
68647-68-7	0	0	0
1300-51-2	0	0	0
3026-22-0	19232	0	0
70900-16-2	122269	0	0
872-50-4	317990	382248	19068
105996-38-1	22195	0	0
28984-69-2	55363	0	55363
91-76-9	0	0	0
61789-99-9	47592433	0	0
75768-93-3	0	0	0
93820-54-3	1138720	0	188716
63738-22-7	0	0	0
7783-47-3	0	38659	10
108-98-5	0	0	0
663917-70-2	0	0	0
1852-16-0	0	0	0
26968-58-1	0	404799	0
301-04-2	0	0	0
70024-64-5	0	0	0
111-92-2	0	0	0
61790-55-4	39245	0	1814
16068-37-4	0	0	0
68814-87-9	7735545672	543836172	0
27676-62-6	0	26000	0
1310-43-6	0	22622	0
108-67-8	1136368	58060	0
68516-01-8	0	0	0
68308-43-0	0	0	0
69834-21-5	47729	0	0
1078714-96-1	22345	0	0
141-52-6	0	0	0
2163-00-0	0	0	0
7785-23-1	0	0	0
7789-20-0	0	8332	0
71-36-3	195612101	6106416	58788784
92-69-3	0	68674	0
88-72-2	0	0	0
3179-80-4	16079	0	0
4395-53-3	0	0	0
996-35-0	0	611662	13945
61788-89-4	0	1395133	9330
109066-21-9	119812	0	0
112926-00-8	0	751824	0
111-69-3	0	17145792	17145792
7440-06-4	26687	3865	13
13255-27-1	37907	0	0
624-54-4	1906602	0	0
408-35-5	0	0	0
65113-55-5	0	64103	0
25371-54-4	0	0	0
74-93-1	0	0	0
97503-12-3	0	0	0
75-57-0	0	0	544311
1314-61-0	0	0	0
59113-36-9	0	0	0
68515-45-7	0	16939	0
7727-43-7	524103	1836295	541680
68511-20-6	29703	0	0
68412-01-1	0	0	0
382-10-5	0	0	0
544-25-2	0	0	0
19685-21-3	120257	0	0
4531-49-1	0	0	0
78-81-9	0	0	0
540-69-2	0	0	5537
7733-02-0	1234263360	795415	389883
61790-90-7	698596	0	0
6915-15-7	0	0	0
41638-13-5	71771	0	0
12068-69-8	27134	0	5443
593-51-1	25844	0	0
64741-55-5	31216981197	1728243469	1292471289
143-06-6	0	0	0
2549-53-3	0	0	0
68937-83-7	0	0	0
496-11-7	39805	0	0
68127-33-3	0	0	0
68443-08-3	0	0	0
105-36-2	0	0	0
7758-87-4	85769	158527	85769
1074-43-7	0	0	0
68128-59-6	114287	0	23417
4083-64-1	801770	0	612383
68411-90-5	0	0	0
68478-65-9	0	0	0
26747-90-0	18947	0	5773
1318-74-7	0	0	8482
69227-11-8	12246994	0	12246994
68784-30-5	0	0	0
141-95-7	0	0	0
7446-70-0	37534747	67970	9072
57-09-0	0	0	0
64741-71-5	0	0	0
591-22-0	0	0	0
68187-57-5	20918137	851846	1479618
8015-91-6	0	50800	2309
116-02-9	0	1983106	0
122-96-3	0	0	0
591-65-1	371915	0	0
10605-21-7	0	0	0
25550-14-5	0	0	2177
124172-53-8	0	0	0
1623-05-8	0	0	0
95235-30-6	0	603693	0
68953-96-8	0	0	0
79-74-3	0	0	0
70321-86-7	0	0	0
102-60-3	0	0	0
105-76-0	0	0	0
23783-42-8	0	0	0
31906-04-4	0	20477	0
68478-10-4	0	0	0
7327-60-8	0	0	0
4767-03-7	1859729	0	1043262
68478-81-9	0	16204	0
68784-69-0	0	0	0
68915-96-8	4003405705	2352676472	0
103-24-2	0	0	0
68611-47-2	0	22793	0
7758-02-3	0	0	0
64365-17-9	0	0	0
34562-31-7	0	0	0
61789-67-1	0	0	0
6865-35-6	68338	0	0
17955-88-3	136872	0	48055
1304-76-3	0	356002	6
3901-77-7	0	0	0
68783-04-0	0	80607	0
97-30-3	0	56249	0
6846-50-0	0	0	0
68154-05-2	5529881	0	0
2530-83-8	131870	196689	106823
120-57-0	0	96976	24585
16961-83-4	50631432	1020039	0
5766-67-6	0	0	0
10042-59-8	0	0	0
14075-53-7	0	1327128	2602
830-13-7	0	0	0
148-18-5	14470	0	0
123-54-6	0	1261983	0
25637-84-7	50094	0	0
61827-75-6	0	0	0
120-07-0	0	0	0
115-10-6	1170106	1210161	0
68609-96-1	11612	0	186
28701-67-9	0	0	0
16941-12-1	176491	352	0
59118-78-4	909053	0	102787
121-60-8	0	12000	0
68412-04-4	0	0	0
1643-20-5	272583	43608	6731
20592-85-2	572434	0	277978
17438-89-0	0	0	0
12042-68-1	2786437	3218660	19
100-17-4	0	127200	0
107-66-4	124328	0	19958
19321-40-5	15374	0	0
102-81-8	0	0	0
65996-89-6	544408774	0	50402372
68990-61-4	3573292	0	0
73455-75-1	0	0	0
68909-18-2	4130087	0	1162866
693-04-9	28204	0	0
68153-38-8	0	0	96162
61617-00-3	0	0	19
680204-77-7	0	0	0
928-72-3	0	0	0
202148-90-1	423373	0	0
134-28-1	0	52864	0
68477-76-9	0	0	0
9004-99-3	537773	245618	4672
79-36-7	0	0	0
3277-26-7	0	0	0
35249-89-9	29097	0	0
5444-75-7	65023	0	0
68478-17-1	3977282154	0	0
70248-31-6	0	0	0
4435-53-4	0	41476	0
8006-54-0	0	178624	93
7652-64-4	0	0	0
139189-30-3	0	0	0
107-40-4	0	0	0
68919-16-4	26791214	0	0
42594-17-2	0	13832	0
134-20-3	0	43000	19300
64742-83-2	0	0	45
66327-54-6	0	0	0
34202-30-7	0	0	0
18268-70-7	0	0	0
26651-96-7	0	0	0
57866-49-6	0	16783	0
563-41-7	0	0	0
2687-96-9	0	0	0
1931-62-0	0	0	0
13463-67-7	220663513	99108129	84662298
71033-08-4	0	0	0
1317-70-0	0	0	0
68171-33-5	230211	0	0
463-40-1	0	0	0
866-84-2	375388	0	921
102-76-1	0	1034246	211098
136618-51-4	0	13200	0
68412-43-1	0	0	0
81561-81-1	0	0	0
141-12-8	0	0	0
58398-71-3	0	0	0
1852-04-6	0	0	0
131298-44-7	0	0	0
19485-03-1	0	0	0
80-56-8	0	0	0
534-22-5	0	0	0
14852-17-6	17809	0	10703
2650-18-2	0	0	0
68082-34-8	0	0	0
68541-49-1	0	18007	0
103-63-9	0	0	0
64742-71-8	245705898	0	120147997
130469-80-6	39009	0	227
131-11-3	0	560953	0
87-69-4	0	360000	360000
125997-21-9	1982476	141194	318551
127-91-3	0	28000	18644
68919-39-1	0	0	0
84929-31-7	0	0	0
4316-73-8	0	0	0
68425-15-0	0	0	0
101-11-1	0	0	0
815583-91-6	24034	0	0
133-14-2	0	0	0
9003-39-8	0	0	0
4402-30-6	0	0	0
14475-63-9	7577540	0	0
20429-79-2	0	0	0
64741-90-8	249475804	0	0
87-61-6	0	0	0
24887-06-7	0	53887	0
38618-12-1	216809	0	8226
109-46-6	0	67407	0
110-15-6	27742	59613	0
66587-56-2	0	0	0
68954-72-3	0	24200	0
112-30-1	25330712	213943	4132392
7396-58-9	0	0	1168495
1461-22-9	0	22277	0
126-97-6	0	0	0
6642-31-5	0	0	0
25321-09-9	362135	0	0
88-20-0	0	0	0
76148-09-9	0	127574	0
50940-49-3	239586	0	0
141-32-2	52665165	8816581	513219
92704-41-1	110913005	66649	81246569
8061-51-6	24040396	7282411	3492661
75-68-3	0	0	0
1222-05-5	0	380076	64460
108-77-0	0	212836	0
302-01-2	93101	1179096	756521
72480-42-3	0	0	0
131-56-6	0	14370	0
74398-71-3	0	0	0
8005-52-5	0	0	0
25904-89-6	60781	0	454
72480-05-8	0	0	0
623-53-0	0	0	0
68477-85-0	6667411289	9811334	261606897
1745-81-9	0	0	0
79915-74-5	0	289	0
85209-93-4	0	43056	0
403507-18-6	0	0	0
4940-11-8	0	34932	15717
5810-88-8	0	0	0
133-59-5	0	0	0
68424-16-8	0	0	117934
15666-29-2	149216	0	19176
68554-16-5	0	0	0
873-94-9	0	0	0
40039-93-8	0	0	0
67124-09-8	0	11647	0
12227-50-8	0	0	0
7783-61-1	0	0	0
46728-75-0	0	0	0
1401-55-4	0	1648725	0
12068-51-8	0	453592	0
68956-74-1	0	0	0
68333-82-4	0	0	0
14644-61-2	1799431	0	0
28987-17-9	313673	0	49940
3087-37-4	0	0	0
7446-11-9	33672883	0	158757
12002-48-1	0	0	0
622-96-8	8608730	0	0
141-79-7	5168049	211918	96234
875140-58-2	50644	0	0
36888-99-0	45633	14360	8981
64787-97-9	0	0	0
68606-24-6	0	0	0
16830-40-3	0	0	0
112-77-6	0	0	0
67806-10-4	0	0	0
68855-24-3	0	1181814	0
68649-48-9	0	0	0
3741-80-8	0	0	0
120547-52-6	0	0	18783
68477-80-5	974394706	0	0
64742-16-1	433549484	3145816	8124
111-17-1	0	279600	0
70983-53-8	37246	0	0
64741-49-7	1759438836	38101759	2693881
68938-79-4	0	0	0
1185-81-5	447356	0	21509
12033-29-3	199581	0	0
602-01-7	0	0	0
140-88-5	54700	10990405	0
25167-67-3	3407931	370989	0
7758-97-6	0	0	0
10468-30-1	0	0	0
17865-32-6	0	41821	0
10117-38-1	3229686	0	97755
2094-99-7	392527	0	0
91125-43-8	0	0	0
68334-19-0	0	0	0
3399-22-2	0	0	0
68914-55-6	0	80320	0
629-25-4	0	0	0
119505-04-3	0	13835	0
99-96-7	0	0	0
68784-75-8	0	0	0
18602-17-0	11567	0	0
68476-32-4	15657	0	0
67361-76-6	34203	0	7011
77-99-6	21515602	222108	15664949
98-13-5	0	0	0
68425-57-0	0	0	0
85-83-6	0	100289	42271
527-07-1	274551	227551	12354
111062-35-2	0	0	0
53378-51-1	0	121876	0
764-71-6	0	0	0
112-54-9	0	0	0
109-99-9	3967213	437859	0
105-08-8	0	0	0
554-13-2	1603523	3446531	630335
115-86-6	3825502	20761	573825
79-06-1	111384821	70850	1402060
56836-93-2	0	0	0
109-73-9	0	0	0
136210-30-5	38986	0	0
78-48-8	947554	0	0
13887-02-0	0	92720	0
39670-09-2	0	0	0
68188-40-9	30231	0	12785
68410-05-9	4255058388	0	557887899
163206-24-4	841867	0	139253
85632-63-9	0	16048	2722
7487-88-9	81743018	98988	241620
68131-74-8	40053571910	14471766	3423991585
54163-66-5	13982	0	7530
68213-98-9	0	0	0
93820-57-6	365963	0	151622
27939-60-2	0	0	0
20292-09-5	0	15643	0
68476-03-9	0	0	0
65997-02-6	633667446	0	0
7398-69-8	0	0	1149997
147170-44-3	0	0	0
96-41-3	0	0	0
25638-17-9	54431	0	0
31566-31-1	956173	458308	7711
68514-34-1	0	0	0
104983-85-9	0	0	0
12217-80-0	0	0	0
54261-67-5	0	0	0
13598-37-3	0	0	0
215058-04-1	0	0	0
112-92-5	5508899	1570033	568469
147732-59-0	138432	0	122470
68919-76-6	0	0	0
98-73-7	0	70368	0
506-87-6	0	0	0
61789-77-3	0	0	177463
9066-50-6	0	592183	0
917-70-4	101775	0	0
9005-25-8	25305072	4573195	4354487
65996-74-9	1279119214	29498926	194649287
102783-85-7	432975	0	8083
7786-30-3	71171535	549958	0
111163-74-7	2128856	0	1288119
216593-48-5	0	0	0
124-22-1	0	0	0
64800-83-5	0	0	0
7440-57-5	11908	0	262379
1070-70-8	0	0	0
1305-78-8	10271236403	113043101	2359478
57378-68-4	0	0	0
64704-32-1	0	0	0
9039-25-2	119967	0	0
7473-98-5	0	19160	0
65701-07-7	17670	0	0
18244-20-7	0	0	0
2421-28-5	0	0	0
81-64-1	0	0	0
9004-81-3	739422	16893	41186
515861-19-5	512337	24360	0
7778-18-9	515041076	6498992	37671441
689-97-4	5243868	0	0
28768-32-3	257187	0	0
111-77-3	1890082	434860	9208
61670-79-9	133583	0	0
18435-53-5	0	0	0
10279-63-7	14969	0	1361
107-18-6	0	0	0
122-18-9	336112	0	38555
16052-40-7	419064	0	0
101-80-4	0	0	0
16589-43-8	0	0	0
74499-36-8	0	0	0
6515-38-4	0	0	0
127-08-2	800603	515859	320362
88-73-3	0	0	0
61788-88-3	0	0	0
65870-97-5	0	0	0
2374-14-3	0	0	0
67846-14-4	0	0	0
64742-93-4	422122579	0	0
9006-03-5	0	15519	0
66736-54-7	0	13592	0
947-04-6	0	0	0
67989-88-2	0	0	0
1555-58-4	0	0	0
68919-53-9	297403805	0	0
146865-37-4	1073752	0	0
150-46-9	41585	0	23609
135-57-9	0	0	0
142-92-7	188045	23680	0
2051-79-8	0	0	0
145153-52-2	2270244	0	0
513-35-9	15479234	0	0
106-75-2	0	0	0
2528-36-1	0	0	0
3027-21-2	0	0	0
100-64-1	0	0	0
2582-30-1	0	13608	0
64741-86-2	537869747	0	0
68424-94-2	0	0	0
577-11-7	10964101	55758	104764
68610-44-6	0	0	0
3388-04-3	53875	0	14925
122-04-3	0	0	0
7782-99-2	76108352	0	0
114959-46-5	0	1258671	0
110-42-9	0	0	0
68188-85-2	0	0	0
373-02-4	135876	14268	43000
68188-88-5	4932394	0	0
3618-72-2	0	0	0
61790-29-2	635029	0	0
109-16-0	0	147620	0
2587-76-0	0	0	0
7782-91-4	2373882	0	0
25291-17-2	0	0	0
109066-20-8	119812	0	0
193635-82-4	0	0	0
13768-67-7	32597	0	0
40601-76-1	0	0	0
309934-69-8	2857632	0	0
2372-45-4	749872	0	0
122-79-2	0	0	0
27496-82-8	36487	0	272
62037-80-3	0	0	0
67774-69-0	568281	0	0
12208-13-8	153302	0	0
6358-87-8	0	26444	0
87731-18-8	0	0	0
4089-58-1	0	0	0
7786-17-6	0	0	0
27233-00-7	24700	0	0
1323-38-2	77528	0	907
3089-11-0	11138118	0	0
934-74-7	0	0	0
98-11-3	658854	0	16964
1863-63-4	0	0	32205
111937-03-2	0	0	0
4098-71-9	0	19975	0
26761-42-2	0	0	0
68154-36-9	2438501	0	268472
1330-43-4	31141	261978	8073
68512-39-0	0	0	0
64051-29-2	104274	0	96299
93572-29-3	0	0	0
42232-29-1	0	0	0
61791-63-7	1003467	31751	45853
144-19-4	0	0	0
2580-77-0	0	0	0
5281-04-9	2231446	1481192	891044
68783-64-2	175494888	0	41140828
7789-23-3	471414	1246241	252188
1001354-72-8	0	0	0
1208234-05-2	0	0	0
13539-13-4	438412	0	44020
120-56-9	0	0	0
68477-97-4	372324042	0	0
130-17-6	0	0	0
24615-84-7	0	0	0
2078-54-8	122677	0	0
10294-56-1	143040	6407905	19958
7440-42-8	0	41068	600
61791-38-6	540548	0	66335
25225-08-5	0	0	0
390748-41-1	54431	0	0
15337-18-5	24320	0	7155
52628-03-2	110427	0	2707
94-58-6	63497	0	0
1066-30-4	145150	0	0
68606-39-3	0	15300	490
1897-52-5	0	0	0
112-45-8	0	0	0
173903-15-6	0	0	0
61791-30-8	426377	0	0
70851-04-6	0	0	0
68153-35-5	0	25949	1734706
13701-59-2	36287	0	0
12070-13-2	0	175054	0
124-70-9	275301	0	0
15875-13-5	21251	0	0
162881-26-7	0	0	0
76114-73-3	233092	32205	0
65150-80-3	0	0	0
68918-44-5	0	0	0
78952-72-4	0	0	0
103-49-1	0	0	0
10124-65-9	0	0	0
65996-95-4	0	76457110	5797362
64741-76-0	4181654613	312978735	0
7440-62-2	2314155	375158	393604
68910-31-6	0	0	0
629-15-2	0	0	0
71608-59-8	0	0	0
70865-20-2	0	18610	0
62-33-9	20412	0	0
38900-29-7	331122	0	0
1345-16-0	0	0	0
7785-87-7	242409	1216102	147813
85507-79-5	0	3694278	0
80146-12-9	0	0	0
68783-88-0	123971	0	0
991-84-4	0	0	0
77-85-0	1496855	0	589670
1004-14-4	0	0	0
2469-45-6	0	0	0
555-31-7	0	0	0
136-84-5	0	0	0
64742-24-1	120655570	0	0
68922-14-5	0	0	0
106-22-9	0	2129	0
138314-12-2	0	156272	0
79-37-8	0	23600	3155
1315-09-9	0	0	0
68477-77-0	1192721	0	0
298-07-7	0	138	0
557-91-5	0	0	0
1338-41-6	2720593	0	128658
1185-57-5	0	32699	32699
70024-67-8	291965	0	134467
96-33-3	0	4779983	0
818-61-1	41820	1932578	0
7722-88-5	2883503	1641682	1121031
7440-05-3	37419	7346	5
12028-48-7	0	359991	359991
65122-23-8	0	0	0
1332-65-6	0	0	0
37475-88-0	83264	0	46734
26062-79-3	406575	0	244
102-08-9	0	83684	0
10124-41-1	9399960	0	518261
68989-22-0	30725	0	0
7758-23-8	312039165	0	31751466
68513-19-9	214549191	0	0
5280-68-2	0	0	0
25961-89-1	0	0	0
70969-48-1	2412791481	0	164130884
112-07-2	0	120745	0
13521-83-0	0	0	0
68891-13-4	0	0	0
105-39-5	0	0	0
33667-48-0	0	0	0
932-64-9	33925	0	33925
11097-59-9	1786897	3103208	24074
100-51-6	0	3231378	22065
40372-66-5	1128118	0	3046
68919-20-0	636526173	0	0
15625-89-5	2055975	737544	0
813-78-5	39916	0	14
68527-18-4	0	0	0
26590-05-6	0	0	0
14035-94-0	0	0	0
8030-12-4	0	16820	0
871-37-4	0	0	0
66375-36-8	0	0	0
12054-48-7	0	0	24040
57693-14-8	0	0	2495
106-02-5	0	0	0
26468-86-0	0	0	0
68584-26-9	212733	0	0
55117-15-2	0	48897	0
30965-85-6	0	0	7218
81-16-3	0	0	0
629-79-8	0	0	0
107-45-9	0	0	0
68783-96-0	1499606	24143	0
74-82-8	2903227366	31341418	3153068
7173-51-5	1010945	0	49135
68411-78-9	84026626	0	8640662
693-07-2	0	0	0
501-53-1	666308	0	367326
1187-93-5	0	0	0
109-63-7	0	0	0
16728-49-7	0	0	0
68607-19-2	0	0	0
68476-86-8	0	0	0
68477-72-5	303906888	0	0
12036-43-0	14137	0	14137
8030-30-6	4024166859	553524761	2101137133
121-45-9	0	0	0
32388-55-9	0	34980	16729
68955-55-5	0	0	0
65294-17-9	0	108475	0
136-23-2	0	186702	21703
14324-55-1	0	0	25
496-72-0	0	0	0
71011-27-3	61912573	55849	994097
85711-55-3	0	0	0
12225-18-2	0	0	0
10026-04-7	0	0	0
68514-28-3	680389	283084	496272
106-49-0	0	0	0
515-74-2	0	0	20500
106-44-5	9344679	4063687	2917770
1330-80-9	0	0	0
111-90-0	0	36838	20412
7550-35-8	101786	0	60917
9005-70-3	761355	0	2558
56237-74-2	0	0	0
67701-13-7	0	0	217724
65997-18-4	6929474	481885	750312
68440-27-7	0	0	8506
121144-97-6	0	0	0
1490-04-6	0	2642357	0
17140-60-2	84556	0	0
868-85-9	0	0	0
96-18-4	0	0	0
27076-30-8	0	0	0
69089-45-8	0	0	0
128734-33-8	14590	0	0
86261-90-7	0	0	0
178535-25-6	0	34529	0
16111-62-9	0	0	0
5462-06-6	0	0	0
16470-24-9	0	408864	0
68187-68-8	0	0	0
128446-36-6	0	0	0
122-62-3	59918	99191	0
67-66-3	0	0	845685
497-18-7	252516	77560	0
17852-99-2	0	0	0
68308-53-2	1738166	0	0
770-35-4	0	94486	1908
10031-30-8	6423918	0	1082430
68603-55-4	153297	0	5275
8016-60-2	0	0	0
6843-66-9	0	0	0
12113-07-4	0	0	0
3008-50-2	0	47161	0
4985-85-7	0	0	0
1066-35-9	0	0	0
4253-22-9	145869	0	16579
92-74-0	0	0	0
118-58-1	0	48322	0
61790-11-2	0	0	0
68952-98-7	0	0	0
34690-00-1	2623940	27303	25855
63451-47-8	0	0	0
95913-20-5	32238	0	21139
2478-10-6	0	0	0
64754-93-4	491327	0	147
7789-38-0	0	225000	125000
98-09-9	0	0	0
72162-46-0	0	0	0
839-90-7	0	1374916	0
301-13-3	0	0	0
14234-82-3	59228	0	0
180513-31-9	0	0	0
68604-40-0	10614061	0	0
8008-56-8	0	166619	123740
811-97-2	1114050	4116334	4061833
32329-20-7	0	0	0
1072-63-5	0	0	0
14177-55-0	0	0	495323
61790-35-0	395878434	0	0
13327-32-7	0	0	0
68603-16-7	0	0	0
68411-57-4	912353	0	116570
15890-25-2	0	0	14707
622-97-9	5951585	0	1839771
10024-97-2	0	0	0
75-88-7	0	0	0
68187-84-8	0	0	0
98-95-3	0	0	0
105-83-9	0	0	0
13870-28-5	0	0	0
39331-38-9	0	0	16020
90-02-8	0	0	0
75-66-1	0	0	0
50-99-7	7628463	35692	0
12014-56-1	0	0	0
112110-16-4	0	0	0
608-31-1	0	0	0
87-44-5	0	19000	4191
35435-21-3	0	0	0
96-69-5	0	0	0
26351-32-6	491241	0	0
65059-91-8	0	0	0
52338-87-1	25401	0	0
68956-54-7	118387609	0	0
168253-59-6	0	0	0
83713-01-3	17721	0	0
6196-95-8	172138	0	163531
145963-84-4	0	0	0
3884-95-5	0	0	0
163702-07-6	0	0	0
32210-23-4	0	137365	6740
119345-04-9	15668723	0	7822867
1533-78-4	0	24225	0
7783-66-6	0	0	0
60223-95-2	0	0	0
99-97-8	0	0	0
630-20-6	33136	0	27251
12593-60-1	3220527	0	0
68525-87-1	1205616	0	0
30125-47-4	0	13871	5141
64742-11-6	105040480	0	0
2717-15-9	30334	0	234
822-16-2	1036894	0	182
103597-45-1	0	0	0
163702-08-7	0	0	0
506-52-5	0	0	0
63568-35-4	0	0	0
2123-24-2	0	65814	0
112-55-0	0	0	0
85-60-9	0	0	0
41317-15-1	0	0	0
52305-09-6	0	0	0
68953-72-0	0	0	0
6028-47-3	0	0	0
68139-91-3	170216	0	24452
3251-23-8	487273	0	0
35484-93-6	0	0	0
105-67-9	1463694	2197000	1563973
168533-86-6	0	0	0
68187-09-7	0	0	0
151789-06-9	0	0	0
68784-98-5	602843	0	0
100-01-6	0	0	0
18794-84-8	0	0	0
68492-82-0	72575	0	0
19351-18-9	0	18430	0
831-59-4	0	0	0
87-20-7	0	0	0
1335-25-7	412581147	14156618	3651657
61789-76-2	1433840	2631	0
462-95-3	0	59960	0
308074-31-9	90064	0	36174
68052-49-3	0	0	0
68513-02-0	3030789311	0	0
62-23-7	0	19051	0
68390-56-7	0	2261607	0
67874-71-9	0	0	0
5283-66-9	0	0	0
68153-60-6	517095	0	132903
30399-84-9	0	0	20120
1560-69-6	0	0	553
8021-29-2	0	16660	1681
139-02-6	0	0	0
100-46-9	0	0	0
109-92-2	0	17460	0
544-17-2	771107	2609564	68967
4189-44-0	0	16000	0
70528-83-5	1187136	0	343842
760-23-6	0	0	0
7760-50-1	0	0	0
88-69-7	561831	15168	0
85251-77-0	0	0	0
925-90-6	12296	0	80
13674-87-8	0	0	109799
68953-58-2	16339117	1280333	391686
67711-94-8	19797946	0	0
688-71-1	0	15241	0
34375-28-5	0	0	0
32539-83-6	0	0	0
1191-16-8	0	0	0
68130-55-2	104326	0	23587
99-51-4	0	0	0
125904-13-4	0	57200	0
7723-14-0	222367	589696	89179
64022-61-3	0	17960	0
10126-68-8	0	0	0
67634-00-8	0	0	0
68131-73-7	0	0	0
68833-67-0	0	0	0
143-33-9	60556828	7089789	6705856
2499-95-8	0	0	0
91770-03-5	0	0	0
113-98-4	0	16250	0
95-33-0	0	3303237	13909
134818-68-1	0	0	0
753-73-1	1767979	0	50347
65997-01-5	930836674	0	0
30499-70-8	0	22228	0
35794-11-7	0	0	0
68988-76-1	0	0	0
2772-45-4	0	0	0
69012-30-2	0	0	0
546-68-9	0	0	0
53018-24-9	0	0	0
9008-64-4	0	108994	0
68310-04-3	0	0	0
793-24-8	0	4197493	18000
7360-38-5	35255	0	0
628-63-7	0	0	0
244769-52-6	113358	0	0
14332-60-6	44704	0	9072
67989-23-5	1604152	1535085	0
60111-54-8	0	0	0
2524-04-1	0	0	0
300-92-5	273970	28567	11340
110-85-0	0	0	0
1338707-89-3	304360	0	0
124-41-4	109191	189429	39578
86329-09-1	0	60964	0
365544-04-3	367342	0	0
107-75-5	0	19	0
30030-25-2	0	0	0
68424-95-3	46744	0	22761
75-21-8	459122103	12011	374350
215869-00-4	0	0	0
10043-67-1	0	0	0
5877-42-9	0	0	0
3105-51-9	13884	0	0
473-55-2	0	0	0
1078715-60-2	0	0	0
10112-91-1	115808	147616	0
3126-80-5	14061	0	14061
7173-67-3	32826	0	0
1984-58-3	0	0	0
68425-50-3	0	122599	0
1118-92-9	0	0	0
24993-04-2	0	36155	0
68214-04-0	0	0	0
68477-25-8	39055486	0	0
96-05-9	0	0	0
3618-73-3	0	52540	0
17736-08-2	92504	0	45508
68783-36-8	0	0	0
35657-77-3	32205	0	6350
98-88-4	0	0	240
121-32-4	0	51417	12213
16368-97-1	0	51903	0
68910-93-0	1000981	0	453601
71888-89-6	0	0	0
69012-42-6	144242	0	0
68134-22-5	0	0	0
8052-48-0	131866711	0	0
41374-20-3	0	0	0
1762-95-4	0	0	0
195628-73-0	35819	0	0
113889-23-9	0	0	0
90-17-5	0	0	0
68952-47-6	0	52091	337
156105-29-2	1336274	0	0
64741-88-4	780916241	18796259	3773
7632-04-4	0	404829	0
96-29-7	8141529	163851	6514856
90193-67-2	0	0	0
64741-85-1	1211505234	0	0
57-10-3	17971062	2953005	0
68892-13-7	0	16012	0
41264-06-6	0	0	0
99607-70-2	0	64265	0
107-51-7	0	0	0
31837-42-0	0	23450	0
21645-51-2	517784768	8465902	15034198
999-97-3	0	76149	0
95-54-5	0	0	0
97-65-4	0	7887763	0
8006-14-2	49937515	0	46231614
110-64-5	0	0	0
4062-60-6	0	0	0
12280-03-4	0	0	0
62-56-6	0	1176248	0
68479-64-1	0	0	0
38103-06-9	0	0	0
91-51-0	0	0	0
69012-17-5	629586	0	0
107-29-9	4792657	0	2381360
141-23-1	0	0	0
1696-20-4	0	0	0
