CASRN	Agent [CAS No.]	Time-Weighted Average Limit (TWA)	Short-Term Exposure Limit (STEL)	Ceiling Limit (C)	Notations	MW
22224-92-6	Fenamiphos [22224-92-6] 	0.05 mg/m3 	 		Skin	303.357442
115-90-2	Fensulfothion [115-90-2]	0.01 mg/m3 	 		Skin	308.354042
55-38-9	Fenthion [55-38-9] 	0.05 mg/m3 	 		Skin	278.328062
14484-64-1	Ferbam [14484-64-1] 	5 mg/m3 	 			416.49432
12604-58-9	Ferrovanadium dust [12604-58-9] 	1 mg/m3	3 mg/m3			
	Flour dust	3 mg/m3				
	Fluorides, as F	2.5 mg/m3	 			
7782-41-4	Fluorine [7782-41-4] 	1 ppm	2 ppm			37.996806
944-22-9	Fonofos [944-22-9] 	0.01 mg/m3 	 		Skin 	246.329262
26675-46-7	Forane [26675-46-7]	2 ppm	 			184.492396
50-00-0	Formaldehyde [50-00-0] 	 	1 ppm	1.5 ppm		30.02598
75-12-7	Formamide [75-12-7] 	10 ppm	 		Skin	45.04062
64-18-6	Formic acid [64-18-6] 	5 ppm	10 ppm			46.02538
98-01-1	Furfural [98-01-1] 	2 ppm	 		Skin	96.08406
98-00-0	Furfuryl alcohol [98-00-0] 	10 ppm	15 ppm		Skin	98.09994
1303-00-0	Gallium arsenide [1303-00-0] 	0.0003 mg/m3 	 			144.6446
86290-81-5	Gasoline [86290-81-5] 	300 ppm	500 ppm			
7782-65-2	Germanium tetrahydride [7782-65-2] 	0.2 ppm	 			
111-30-8	Glutaraldehyde [111-30-8], activated and inactivated 	 		0.05 ppm		100.11582
56-81-5	Glycerin mist [56-81-5] 	10 mg/m3	 			92.09382
556-52-5	Glycidol [556-52-5] 	2 ppm	 			74.07854
107-22-2	Glyoxal [107-22-2] 	0.1 mg/m3 	 			58.03608
	Grain dust (oat, wheat, barley) 	4 mg/m3	 			
7782-42-5	Graphite (all forms except graphite fibers) [7782-42-5] 	2 mg/m3 	 			
7440-58-6	Hafnium [7440-58-6] and compounds, as Hf 	0.5 mg/m3	 			178.49
151-67-7	Halothane [151-67-7]	2 ppm	 			197.38155
7440-59-7	Helium [7440-59-7] 					4.002602
76-44-8; 1024-57-3	Heptachlor [76-44-8] and Heptachlor epoxide [1024-57-3]	0.05 mg/m3	 		Skin	373.3177;389.3171
142-82-5; 590-35-2; 565-59-3; 108-08-7; 591-76-4; 589-34-4	Heptane, All isomers [142-82-5; 590-35-2; 565-59-3; 108-08-7; 591-76-4; 589-34-4] 	400 ppm	500 ppm			100.20194;100.20194;100.20194;100.20194;100.20194;100.20194
112-06-1	Heptyl acetate [112-06-1]	50 ppm	 			158.23802
118-74-1	Hexachlorobenzene [118-74-1] 	0.002 mg/m3	 		Skin	284.7822
87-68-3	Hexachlorobutadiene [87-68-3] 	0.02 ppm	 		Skin	260.7608
77-47-4	Hexachlorocyclopentadiene [77-47-4] 	0.01 ppm	 			272.7715
67-72-1	Hexachloroethane [67-72-1] 	1 ppm	 		Skin	236.7394
1335-87-1	Hexachloronaphthalene [1335-87-1] 	0.2 mg/m3	 		Skin	
684-16-2	Hexafluoroacetone [684-16-2] 	0.1 ppm	 		Skin	166.021919
116-15-4	Hexafluoropropylene [116-15-4]	0.1 ppm	 			150.022519
85-42-7; 13149-00-3; 14166-21-3	Hexahydrophthalic anhydride, All isomers [85-42-7; 13149-00-3; 14166-21-3] 	 		0.005 mg/m3		154.1632;154.1632;154.1632
680-31-9	Hexamethyl phosphoramide [680-31-9]		 		Skin	179.200382
100-97-0	Hexamethylenetetramine (HMT) [100-97-0]	 	0.35 ppm			140.18628
	Hexane, Other isomers 	500 ppm	1000 ppm			
88230-35-7	Hexyl acetate (isomeric mixture) [88230-35-7]	50 ppm	 			144.21144
107-41-5	Hexylene glycol [107-41-5] 	 		25 ppm		118.17416
302-01-2	Hydrazine [302-01-2] 	0.01 ppm	 		Skin	32.04516
1333-74-0	Hydrogen [1333-74-0] 					2.01588
10035-10-6	Hydrogen bromide [10035-10-6] 	 		2 ppm		80.91194
7647-01-0	Hydrogen chloride [7647-01-0] 	 		2 ppm		36.46094
74-90-8; 592-01-8; 151-50-8; 143-33-9	Hydrogen cyanide and Cyanide salts, as CN Hydrogen cyanide [74-90-8] Cyanide salts [592-01-8; 151-50-8; 143-33-9]	 		5 mg/m3	Skin	27.02534;92.1128;65.1157;49.007169
7664-39-3	Hydrogen fluoride [7664-39-3], as F 	0.5ppm		2 ppm	Skin 	20.006343
7722-84-1	Hydrogen peroxide [7722-84-1] 	1 ppm	 			34.01468
7783-07-5	Hydrogen selenide [7783-07-5], as Se 	0.05 ppm	 			78.96
7783-06-4	Hydrogen sulfide [7783-06-4] 	10 ppm	15 ppm			34.08088
61788-32-7	Hydrogenated terphenyls2 [61788-32-7]	0.5 ppm	 			238.36728
123-31-9	Hydroquinone [123-31-9] 	1 mg/m3	 			110.11064
95-13-6	Indene [95-13-6] 	5 ppm	 			116.15982
7440-74-6	Indium [7440-74-6] and compounds, as In 	0.1 mg/m3	 			114.818
7553-56-2	Iodine and lodides Iodine [7553-56-2] Iodides	0.01 ppm 	0.1 ppm			253.80894
75-47-8	Iodoform [75-47-8] 	0.6 ppm	 			393.73205
1309-37-1	Iron oxide (Fe2 O3) [1309-37-1] 	5 mg/m3 	 			
13463-40-6	Iron pentacarbonyl [13463-40-6], as Fe 	0.1 ppm	0.2 ppm			195.8955
	Iron salts, soluble, as Fe 	1 mg/m3	 			
123-51-3	Isoamyl alcohol [123-51-3] 	100 ppm	125 ppm			88.14818
78-83-1	Isobutanol [78-83-1] 	50 ppm	 			74.1216
110-19-0	Isobutyl acetate [110-19-0] 	150 ppm	 			116.15828
542-56-3	Isobutyl nitrite [542-56-3] 	 		1 ppm		103.11976
584-84-9; 91-08-7; 101-68-8; 822-06-0; 4098-71-9; 5124-30-1	Isocyanates, organic compounds Toluene diisocyanate (TDI) [584-84-9] [91-08-7] Methylene bisphenyl isocyanate (MDI) [101-68-8]  Hexamethylene diisocyanate (HDI) [822-06-0] Isophorone diisocyanate (IPDI) [4098-71-9]  Methylene bis (4-cyclohexylisocyanate) [5124-30-1]	0.005 ppm 		0.02 ppm		174.15614;174.15614;250.2521;168.19308;222.28352;
26952-21-6	Isooctyl alcohol [26952-21-6] 	50 ppm	 		Skin	130.22792
78-59-1	Isophorone [78-59-1] 	 		5 ppm		138.20686
108-21-4	Isopropyl acetate [108-21-4] 	100 ppm	200 ppm			102.1317
108-20-3	Isopropyl ether [108-20-3] 	250 ppm	310 ppm			102.17476
4016-14-2	Isopropyl glycidyl ether (IGE) [4016-14-2] 	50 ppm	75 ppm			116.15828
75-31-0	Isopropylamine [75-31-0] 	5 ppm	10 ppm			59.11026
109-56-8; 121-93-7	Isopropylaminoethanols [109-56-8; 121-93-7]	 	1900 mg/m3			103.16282;147.21538
87-33-2	Isosorbide dinitrate [87-33-2] 	0.2 mg/m3	 		Skin	236.13632
1332-58-7	Kaolin [1332-58-7] 	2 mg/m3 	 			258.160437
8008-20-6; 64742-81-0	Kerosene [8008-20-6; 64742-81-0] / Jet fuels, as total hydrocarbon vapour 	200 mg/m3 	 		Skin	;
463-51-4	Ketene [463-51-4] 	0.5 ppm	1.5 ppm			42.03668
68476-85-7	L.P.G. (Liquefied petroleum gas) [68476-85-7] 	1000 ppm				
7439-92-1	Lead [7439-92-1] elemental lead, inorganic and organic compounds of lead, as Pb  Elemental lead, inorganic and organic compounds of lead, as Pb except tetraethyl lead [78-00-2]  Tetraethyl lead, as Pb [78-00-2]	0.05 mg/m3 	0.30 mg/m3		Skin	207.2
7758-97-6	Lead chromate [7758-97-6] as Pb (see listing for Lead [7439-92-1]) as Cr	0.012 mg/m3	 			323.1937
154-21-2	Lincomycin [154-21-2]	0.1 mg/m3	 			406.53736
58-89-9	Lindane [58-89-9] 	0.5 mg/m3	 		Skin	290.82984
7580-67-8	Lithium hydride [7580-67-8]	0.025 mg/m3	 			
1310-65-2; 1310-66-3	Lithium hydroxide Anhydrous [1310-65-2]  Monohydrate [1310-66-3]	 	1 mg/m3			23.94834;41.96362
108-45-2	m-Phenylenediamine [108-45-2] 	0.1 mg/m3	 			108.14112
626-17-5	m-Phthalodinitrile [626-17-5] 	5 mg/m3 	 			128.13076
108-44-1	m-Toluidine [108-44-1] 	2 ppm	 		Skin	107.15306
1477-55-0	m-Xylene α,α'- diamine [1477-55-0] 	 		0.1 mg/m3	Skin	136.19428
546-93-0	Magnesite (total dust) [546-93-0] 	10 mg/m3 	 			84.3139
1309-48-4	Magnesium oxide [1309-48-4] 	10 mg/m3 	 			40.3044
121-75-5	Malathion [121-75-5] 	1 mg/m3 	 		Skin	330.358022
108-31-6	Maleic anhydride [108-31-6] 	0.01 mg/m3 	 			98.05688
7439-96-5	Manganese [7439-96-5] and inorganic compounds, as Mn	0.2 mg/m3	 			54.938045
12079-65-1	Manganese cyclopentadienyl tricarbonyl [12079-65-1], as Mn 	0.1 mg/m3	 		Skin	204.061545
7439-97-6	Mercury [7439-97-6], elemental mercury, inorganic and organic compounds of mercury, as Hg All forms of except alkyl, as Hg Alkyl compounds of, as Hg	0.01 mg/m3	0.03 mg/m3		Skin	200.59
141-79-7	Mesityl oxide [141-79-7] 	15 ppm	25 ppm			98.143
79-41-4	Methacrylic acid [79-41-4] 	20 ppm	 			86.08924
74-82-8	Methane [74-82-8] 	1000 ppm				16.04246
67-56-1	Methanol [67-56-1] 	200 ppm	250 ppm		Skin	32.04186
16752-77-5	Methomyl [16752-77-5] 	2.5 mg/m3	 			162.2101
72-43-5	Methoxychlor [72-43-5] 	10 mg/m3	 			345.6481
76-38-0	Methoxyflurane [76-38-0] 	2 ppm	 			164.966066
137-05-3	Methyl 2-cyanoacrylate [137-05-3] 	0.2 ppm	 			111.0987
79-20-9	Methyl acetate [79-20-9] 	200 ppm	250 ppm			74.07854
74-99-7	Methyl acetylene [74-99-7] 	1000 ppm	 			40.06386
59355-75-8	Methyl acetylene-propadiene mixture (MAPP) [59355-75-8] 	1000 ppm	1250 ppm			80.12772
96-33-3	Methyl acrylate [96-33-3] 	2 ppm	 		Skin	86.08924
74-83-9	Methyl bromide [74-83-9] 	1 ppm	 		Skin	94.93852
74-87-3	Methyl chloride [74-87-3] 	50 ppm	100 ppm		Skin	50.48752
71-55-6	Methyl chloroform [71-55-6] 	350 ppm	450 ppm			133.40422
8022-00-2	Methyl demeton [8022-00-2] 	0.05 mg/m3 	 		Skin	460.570524
78-93-3	Methyl ethyl ketone (MEK) [78-93-3] 	200 ppm	300 ppm			72.10572
1338-23-4	Methyl ethyl ketone peroxide [1338-23-4] 	 		0.2 ppm		210.22492
107-31-3	Methyl formate [107-31-3] 	100 ppm	150 ppm			60.05196
60-34-4	Methyl hydrazine [60-34-4] 	0.01 ppm	 		Skin	46.07174
74-88-4	Methyl iodide [74-88-4] 	2 ppm	 		Skin	141.93899
110-12-3	Methyl isoamyl ketone [110-12-3] 	50 ppm	 			114.18546
108-11-2	Methyl isobutyl carbinol [108-11-2]	25 ppm	40 ppm		Skin	102.17476
108-10-1	Methyl isobutyl ketone [108-10-1] 	20 ppm	75 ppm			100.15888
624-83-9	Methyl isocyanate [624-83-9]	0.02 ppm	 		Skin	57.05132
563-80-4	Methyl isopropyl ketone [563-80-4] 	20 ppm	 			86.1323
74-93-1	Methyl mercaptan [74-93-1] 	0.5 ppm	 			48.10746
80-62-6	Methyl methacrylate [80-62-6] 	50 ppm	100 ppm			100.11582
110-43-0	Methyl n-amyl ketone [110-43-0] 	25 ppm	 			114.18546
591-78-6	Methyl n-butyl ketone [591-78-6] 	1 ppm	 		Skin	100.15888
298-00-0	Methyl parathion [298-00-0] 	0.02 mg/m3 	 		Skin	263.207462
107-87-9	Methyl propyl ketone [107-87-9]	 	150 ppm			86.1323
681-84-5	Methyl silicate [681-84-5]	1 ppm	 			152.22118
1634-04-4	Methyl tert-butyl ether (MTBE) [1634-04-4] 	40 ppm	 			88.14818
78-94-4	Methyl vinyl ketone [78-94-4] 	 		0.2 ppm	Skin	70.08984
126-98-7	Methylacrylonitrile [126-98-7] 	1 ppm	 		Skin	67.0892
109-87-5	Methylal [109-87-5] 	1000 ppm	 			76.09442
74-89-5	Methylamine [74-89-5] 	5 ppm	15 ppm			31.0571
108-87-2	Methylcyclohexane [108-87-2] 	400 ppm	 			98.18606
25639-42-3	Methylcyclohexanol [25639-42-3] 	50 ppm	 			
21087-64-9	Metribuzin [21087-64-9] 	5 mg/m3	 			214.28796
7786-34-7	Mevinphos [7786-34-7] 	0.01 mg/m3 	 		Skin	224.148282
12001-26-2	Mica [12001-26-2] 	3 mg/m3 	 			
8012-95-1	Mineral oil [8012-95-1], excluding metal working fluids Pure, highly and severely refined Poorly and mildly refined 	5 mg/m3	 			
	Mineral Spirits	525 mg/m3	 			
7439-98-7	Molybdenum [7439-98-7], as Mo Soluble compounds Metal and insoluble compounds	0.5 mg/m3 	 			95.96
79-11-8	Monochloroacetic acid [79-11-8]	0.5 ppm 	 		Skin	94.49702
6923-22-4	Monocrotophos [6923-22-4] 	0.05 mg/m3 	 		Skin	223.163522
110-91-8	Morpholine [110-91-8] 	20 ppm	 		Skin	87.12036
71-36-3	n-Butanol [71-36-3] 	20 ppm	 			74.1216
123-86-4	n-Butyl acetate [123-86-4] 	150 ppm	200 ppm			116.15828
141-32-2	n-Butyl acrylate [141-32-2] 	2 ppm	 			128.16898
2426-08-6	n-Butyl glycidyl ether (BGE) [2426-08-6] 	3 ppm	 		Skin	130.18486
138-22-7	n-Butyl lactate [138-22-7] 	5 ppm	 			146.18426
109-79-5	n-Butyl mercaptan [109-79-5] 	0.5 ppm	 			90.1872
109-73-9	n-Butylamine [109-73-9] 	 		5 ppm	Skin	73.13684
1541-81-7	N-Cocomorpholine [1541-81-7] 	5 ppm	 		Skin	255.43932
100-74-3	N-Ethylmorpholine [100-74-3] 	5 ppm	 		Skin	115.17352
110-54-3	n-Hexane [110-54-3] 	50 ppm	 		Skin	86.17536
768-52-5	N-Isopropylaniline [768-52-5] 	2 ppm	 		Skin	135.20622
100-61-8	N-Methyl aniline [100-61-8] 	0.5 ppm	 		Skin	107.15306
872-50-4	N-Methyl-2-pyrrolidone [872-50-4]	400 mg/m3	 			99.13106
62-75-9	N-Nitrosamines, including n-Nitrosodimethylamine [62-75-9]		 		Skin	74.08184
135-88-6	N-Phenyl-β-naphthylamine [135-88-6] 		 			219.28112
71-23-8	n-Propanol (n-Propyl alcohol) [71-23-8] 	100 ppm	 			60.09502
109-60-4	n-Propyl acetate [109-60-4] 	200 ppm	250 ppm			102.1317
627-13-4	n-Propyl nitrate [627-13-4] 	25 ppm	40 ppm			105.09258
110-62-3	n-Valeraldehyde [110-62-3] 	50 ppm	 			86.1323
88-12-0	N-Vinyl-2-pyrrolidone [88-12-0] 	0.05 ppm	 			111.14176
98-94-2	N, N-Dimethyl-cyclohexylamine [98-94-2]	 	26 mg/m3			127.22728
108-01-0	N, N-Dimethyl-ethanolamine [108-01-0]	3 ppm	22 mg/m3			89.13624
127-19-5	N,N-Dimethylacetamide [127-19-5] 	10 ppm	 		Skin	87.12036
300-76-5	Naled [300-76-5] 	0.1 mg/m3 	 		Skin	380.783742
91-20-3	Naphthalene [91-20-3] 	10 ppm	15 ppm		Skin	128.17052
8006-14-2	Natural gas [8006-14-2] 	1000 ppm				
9006-04-6	Natural rubber latex [9006-04-6], as inhalable allergenic proteins	0.0001 mg/m3 	 		Skin	
7440-01-9	Neon [7440-01-9] 					20.1797
37244-96-5	Nepheline syenite (total dust) [37244-96-5]	10 mg/m3	 			
13463-39-3	Nickel carbonyl [13463-39-3], as Ni 	0.05 ppm	 			170.7338
7440-02-0; 7440-02-0; 12035-72-2	Nickel Elemental/metal [7440-02-0] Insoluble compounds, as Ni [7440-02-0] Soluble compounds, as Ni [7440-02-0] Nickel subsulfide, as Ni [12035-72-2]	0.1 mg/m3 	 			58.6934;58.6934;
54-11-5	Nicotine [54-11-5] 	0.5 mg/m3	 		Skin	162.23156
1929-82-4	Nitrapyrin [1929-82-4] 	10 mg/m3	20 mg/m3			230.90672
7697-37-2	Nitric acid [7697-37-2] 	2 ppm	4 ppm			63.01284
10102-43-9	Nitric oxide [10102-43-9] 	25 ppm	 			30.0061
98-95-3	Nitrobenzene [98-95-3] 	1 ppm	 		Skin	123.1094
79-24-3	Nitroethane [79-24-3] 	100 ppm	 			75.0666
7727-37-9	Nitrogen [7727-37-9] 					28.0134
10102-44-0	Nitrogen dioxide [10102-44-0] 	3 ppm	5 ppm			
7783-54-2	Nitrogen trifluoride [7783-54-2] 	10 ppm	 			71.00191
55-63-0	Nitroglycerin (NG) [55-63-0] 	0.05 ppm	 		Skin	227.0865
75-52-5	Nitromethane [75-52-5] 	20 ppm	 			61.04002
88-72-2; 99-08-1; 99-99-0	Nitrotoluene, All isomers [88-72-2; 99-08-1; 99-99-0] 	2 ppm	 		Skin	137.13598;137.13598;137.13598
10024-97-2	Nitrous oxide [10024-97-2] 	25 ppm	 			44.0128
111-84-2	Nonane [111-84-2], All isomers 	200 ppm	 			128.2551
90-04-0	o-Anisidine [90-04-0] 	0.5 mg/m3	 		Skin	123.15246
89-98-5	o-Chlorobenzaldehyde [89-98-5]	 	4 ppm			140.567
2698-41-1	o-Chlorobenzylidene malononitrile [2698-41-1] 	 		0.05 ppm	Skin	188.6131
2039-87-4	o-Chlorostyrene [2039-87-4] 	50 ppm	75 ppm			138.59418
95-49-8	o-Chlorotoluene [95-49-8] 	50 ppm	 			126.58348
95-50-1	o-Dichlorobenzene [95-50-1] 	25 ppm	50 ppm			147.00196
583-60-8	o-Methylcyclohexanone [583-60-8] 	50 ppm	75 ppm		Skin	112.16958
95-54-5	o-Phenylenediamine [95-54-5] 	0.1 mg/m3	 			108.14112
89-72-5	o-sec-Butylphenol [89-72-5] 	5 ppm	 		Skin	150.21756
119-93-7	o-Tolidine [119-93-7] 		 		Skin	212.29024
95-53-4	o-Toluidine [95-53-4] 	2 ppm	 		Skin	107.15306
2234-13-1	Octachloronaphthalene [2234-13-1] 	0.1 mg/m3	0.3 mg/m3		Skin	403.731
111-65-9	Octane, All isomers [111-65-9]	300 ppm	 			114.22852
20816-12-0	Osmium tetroxide [20816-12-0], as Os	0.0002 ppm	0.0006 ppm			254.2276
144-62-7	Oxalic acid [144-62-7] 	1 mg/m3	2 mg/m3			90.03488
7783-41-7	Oxygen difluoride [7783-41-7] 	 		0.05 ppm		53.996206
10028-15-6	Ozone [10028-15-6] 	0.1 ppm	0.3 ppm			47.9982
104-94-9	p-Anisidine [104-94-9] 	0.5 mg/m3	 		Skin	123.15246
106-46-7	p-Dichlorobenzene [106-46-7] 	10 ppm	 			147.00196
100-01-6	p-Nitroaniline [100-01-6] 	3 mg/m3	 		Skin	138.12404
100-00-5	p-Nitrochlorobenzene [100-00-5] 	0.1 ppm	 		Skin	157.55446
106-50-3	p-Phenylenediamine [106-50-3] 	0.1 mg/m3	 			108.14112
98-51-1	p-tert-Butyl toluene [98-51-1] 	1 ppm	 			148.24474
106-49-0	p-Toluidine [106-49-0] 	2 ppm	 		Skin	107.15306
80-51-3	p,p'-Oxybis(benzenesulfonyl hydrazide) [80-51-3]	0.1 mg/m3 	 			358.39336
8002-74-2	Paraffin wax fume [8002-74-2] 	2 mg/m3	 			
4685-14-7	Paraquat [4685-14-7] 	0.1 mg/m3	 			186.25296
56-38-2	Parathion [56-38-2] 	0.05 mg/m3 	 		Skin	291.260622
	Particles (Insoluble or Poorly Soluble) Not Otherwise Specified (PNOS)	3 mg/m3	 			
1406-05-9	Penicillin (total dust) [1406-05-9]	0.1 mg/m3	 			
19624-22-7	Pentaborane [19624-22-7] 	0.005 ppm	0.015 ppm			54.055
1321-64-8	Pentachloronaphthalene [1321-64-8] 	0.5 mg/m3	 		Skin	
82-68-8	Pentachloronitrobenzene [82-68-8] 	0.5 mg/m3	 			295.3347
87-86-5	Pentachlorophenol [87-86-5] 	0.5 mg/m3	 		Skin	266.33654
115-77-5	Pentaerythritol [115-77-5] 	10 mg/m3	 			136.14638
4196-86-5	Pentaerythritol tetrabenzoate [4196-86-5] 	 	2 mg/m3			552.57062
78-78-4; 109-66-0; 463-82-1	Pentane, All isomers [78-78-4; 109-66-0; 463-82-1]	600 ppm	 			72.14878;72.14878;72.14878
628-63-7; 626-38-0; 123-92-2; 625-16-1; 624-41-9; 620-11-1	Pentyl acetate, All isomers [628-63-7; 626-38-0; 123-92-2; 625-16-1; 624-41-9; 620-11-1] 	50 ppm	100 ppm			130.18486;130.18486;130.18486;130.18486;130.18486;130.18486
594-42-3	Perchloromethyl mercaptan [594-42-3] 	0.1 ppm	 			185.8877
7616-94-6	Perchloryl fluoride [7616-94-6] 	3 ppm	6 ppm			102.449603
19430-93-4	Perfluorobutyl ethylene [19430-93-4] 	100 ppm	 			246.073649
382-21-8	Perfluoroisobutylene [382-21-8] 	 		0.01 ppm		200.030026
	Perlite	10 mg/m3	 			
	Persulfates, as persulfate 	0.1 mg/m3	 			
64741-79-3	Petroleum coke (total dust) [64741-79-3]	3.5 mg/m3 	 			
	Petroleum ether		 			
108-95-2	Phenol [108-95-2] 	5 ppm	 		Skin	94.11124
92-84-2	Phenothiazine [92-84-2] 	5 mg/m3	 		Skin	199.27156
101-84-8	Phenyl ether [101-84-8], vapor 	1 ppm	2 ppm			170.2072
122-60-1	Phenyl glycidyl ether (PGE) [122-60-1] 	0.1 ppm	 		Skin	150.1745
108-98-5	Phenyl mercaptan [108-98-5] 	0.1 ppm	 		Skin	110.17684
100-63-0	Phenylhydrazine [100-63-0] 	0.1 ppm	 		Skin	108.14112
638-21-1	Phenylphosphine [638-21-1] 	 		0.05 ppm		110.093542
298-02-2	Phorate [298-02-2] 	0.05 mg/m3 	 		Skin	260.377442
75-44-5	Phosgene [75-44-5] 	0.1 ppm	 			98.9161
7803-51-2	Phosphine [7803-51-2] 	0.3 ppm	1 ppm			33.997582
7664-38-2	Phosphoric acid [7664-38-2] 	1 mg/m3	3 mg/m3			97.995182
12185-10-3	Phosphorus (yellow) [12185-10-3] 	0.1 mg/m3	 			123.895048
10025-87-3	Phosphorus oxychloride [10025-87-3] 	0.1 ppm	 			153.332162
10026-13-8	Phosphorus pentachloride [10026-13-8] 	0.1 ppm	 			208.238762
1314-80-3	Phosphorus pentasulfide [1314-80-3] 	1 mg/m3	3 mg/m3			
7719-12-2	Phosphorus trichloride [7719-12-2] 	0.2 ppm	0.5 ppm			137.332762
85-44-9	Phthalic anhydride [85-44-9] 	1 ppm	 			148.11556
1918-02-1	Picloram [1918-02-1] 	10 mg/m3	 			241.45922
88-89-1	Picric acid [88-89-1] 	0.1 mg/m3	 		Skin	229.10392
83-26-1	Pindone [83-26-1] 	0.1 mg/m3	 			230.25916
142-64-3	Piperazine dihydrochloride [142-64-3] 	5 mg/m3	 			159.05748
7440-06-4	Platinum [7440-06-4] Metal  Water-soluble compounds of, including chloroplatinates (as Pt)	0.002 mg/m3	 			195.084
	Polychlorinated biphenyls (PCBs)2	0.05 mg/m3	 			
9002-86-2	Polyvinyl chloride (PVC) [9002-86-2]	1 mg/m3 	 			62.49822
65997-15-1	Portland cement [65997-15-1] 	1 mg/m3 	 			
1310-58-3	Potassium hydroxide [1310-58-3] 	 		2 mg/m3		56.10564
	Poultry dust (total dust)	5 mg/m3	 			
1343-98-2	Precipitated silica (total dust) [1343-98-2]	10 mg/m3	 			
74-98-6	Propane [74-98-6] 	1000 ppm				44.09562
1120-71-4	Propane sultone [1120-71-4] 		 			122.14294
107-19-7	Propargyl alcohol [107-19-7] 	1 ppm	 		Skin	56.06326
123-38-6	Propionaldehyde [123-38-6] 	20 ppm	 			58.07914
79-09-4	Propionic acid [79-09-4] 	10 ppm	 			74.07854
114-26-1	Propoxur [114-26-1] 	0.5 mg/m3	 			209.2417
115-07-1	Propylene [115-07-1] 	500 ppm	 			42.07974
78-87-5	Propylene dichloride [78-87-5] 	10 ppm	 			112.98574
6423-43-4	Propylene glycol dinitrate [6423-43-4] 	0.05 ppm	 		Skin	166.08954
108-65-6	Propylene glycol monomethyl ether acetate [108-65-6]	50 ppm	 			132.15768
75-56-9	Propylene oxide [75-56-9] 	2 ppm	 			58.07914
75-55-8	Propyleneimine [75-55-8] 	0.2 ppm	0.4 ppm		Skin	57.09438
8003-34-7	Pyrethrum [8003-34-7] 	5 mg/m3	 			
110-86-1	Pyridine [110-86-1] 	1 ppm	 			79.0999
106-51-4	Quinone [106-51-4] 	0.1 ppm	 			108.09476
108-46-3	Resorcinol [108-46-3] 	10 ppm	20 ppm			110.11064
7440-16-6	Rhodium [7440-16-6], as Rh Metal and Insoluble compounds  Soluble compounds	0.01 mg/m3	 			102.9055
299-84-3	Ronnel [299-84-3] 	5 mg/m3 	 			321.545082
8050-09-7	Rosin core solder thermal decomposition products (colophony) [8050-09-7] 		 			302.451
83-79-4	Rotenone (commercial) [83-79-4] 	5 mg/m3	 			394.41718
8030-30-6	Rubber Solvent (Naphtha) [8030-30-6]		 			78.11184
78-92-2	sec-Butanol [78-92-2]	100 ppm	 			74.1216
105-46-4	sec-Butyl acetate [105-46-4] 	200 ppm	 			116.15828
108-84-9	sec-Hexyl acetate [108-84-9] 	50 ppm	 			144.21144
7782-49-2	Selenium [7782-49-2] and compounds, as Se 	0.2 mg/m3	 			78.96
7783-79-1	Selenium hexafluoride [7783-79-1], as Se 	0.025 ppm	 			192.950419
136-78-7	Sesone [136-78-7] 	10 mg/m3	 			309.098949
9000-59-3	Shellac dust (total dust) [9000-59-3]	10 mg/m3	 			
69012-64-2	Silica fume [69012-64-2]	2 mg/m3 	 			
60676-86-0	Silica fused [60676-86-0]	0.1 mg/m3 	 			60.0843
112926-00-8	Silica gel [112926-00-8]	10 mg/m3	 			60.0843
14808-60-7; 1317-95-9	Silica, Crystalline Quartz/Tripoli [14808-60-7; 1317-95-9]  Cristobalite [14464-46-1]	0.05 mg/m3 	 			60.0843;
7440-21-3	Silicon (total dust) [7440-21-3]	10 mg/m3	 			28.0855
409-21-2	Silicon carbide [409-21-2]  Non-fibrous   Fibrous (including whiskers)	3 mg/m3 	 			40.0962
7803-62-5	Silicon tetrahydride [7803-62-5] 	5 ppm	 			28.0855
7440-22-4	Silver [7440-22-4] Metal, dust and fume Soluble Compounds, as Ag	0.01 mg/m3	 			107.8682
	Sisal dust (total dust)	2 mg/m3	 			
68918-36-5	Soap dust [68918-36-5]	5 mg/m3	 			
26628-22-8	Sodium azide [26628-22-8]  as Sodium azide  as Hydrazoic acid vapour		 	0.29 mg/m3		65.009869
7631-90-5	Sodium bisulfite [7631-90-5] 	5 mg/m3	 			104.060909
62-74-8	Sodium fluoroacetate [62-74-8] 	0.05 mg/m3	 		Skin	100.024252
1310-73-2	Sodium hydroxide [1310-73-2] 	 		2 mg/m3		39.997109
7681-57-4	Sodium metabisulfite [7681-57-4] 	5 mg/m3	 			190.106539
1695-77-8	Spectinomycin [1695-77-8]	2 mg/m3	 			332.34956
9005-25-8	Starch [9005-25-8] 	10 mg/m3	 			
	Stearates (J)	10 mg/m3	 			
8052-41-3	Stoddard solvent [8052-41-3] 	100 ppm	 			241.12278
7789-06-2	Strontium chromate [7789-06-2], as Cr 	0.0005 mg/m3	 			203.6137
57-24-9	Strychnine [57-24-9] 	0.15 mg/m3	 			334.41158
100-42-5	Styrene - monomer [100-42-5] 	35 ppm	100 ppm			104.14912
1395-21-7; 9014-01-1	Subtilisins [1395-21-7; 9014-01-1], as crystalline active enzyme	 		0.00006 mg/m3		;
57-50-1	Sucrose [57-50-1] 	10 mg/m3	 			342.29648
74222-97-2	Sulfometuron methyl [74222-97-2] 	5 mg/m3	 			364.37634
