CASRN	Chemical	Hsub	error
293-30-1	1,3,5,7-tetroxane   	79600	200
294-62-2	cyclododecane 	76200	
2941-78-8	2-amino-5-methylbenzoic acid 	110600	1900
29446-15-9	2,3-dichlorodibenzo[b,e][1,4]dioxin 	108600	
2958-72-7	pentacyclo[5.4.02,603,1005,9]undecane-8,11-dione 	92600	1000
29668-44-8	2,3-dihydro-1,4-benzodioxin-6-carboxaldehyde 	98200	1400
302-72-7	DL ?-alanine 	138000	2700
303-07-1	2,6-dihydroxybenzoic acid   	109100	1000
303-38-8	2,3-dihydroxybenzoic acid   	110700	800
304-81-4	phenazine-N-oxide 	100000	1300
307-59-5	perfluorododecane 	85800	300
307-62-0	perfluorotetradecane 	102400	1000
3113-71-1	3-methyl-4-nitrobenzoic acid 	119300	2500
31297-12-8	[2.2]-paracyclophane-1-ene 	94400	1100
3138-86-1	2,3-bis(bromomethyl)quinoxaline 	114000	2000
3162-29-6	5-oxoethyl-1,3-benzodioxole 	104400	2200
3172-56-3	3,3’-biothiophene 	89200	300
3177-80-8	2-amino-3-methoxybenzoic acid 	115500	700
31983-89-8	3-methyl-N-phenyl-2-quinoxalinecarboxamide-1,4-dioxide 	145100	5600
3251-56-7	2-methoxy-4-nitrophenol 	99400	2000
326-06-7	benzoyltrifluoroacetone 	87100	900
326-90-9	4,4,4-trifluoro-1-(2-furanyl)-butane-1,3-dione 	70000	10000
32692-19-6	5-nitroindoline 	109800	800
3279-76-3	2-methyl-6-hydroxypyridine 	92000	1300
330-54-1	3-(3,4-dichlorophenyl)-1,1-dimethylurea 	133900	700
3326-71-4	2-furancarboxylic acid hydrazide 	99000	700
33265-60-0	1-(2-nitrophenyl)pyrrole 	101300	400
3327-06-8	pentamethoxycarbonylbenzene 	165100	800
334-48-5	decanoic acid 	118800	2200
33421-43-1	2,2'-bipyridine-N-oxide 	105100	800
3354-42-5	4,5-benzo-1,2-dithiole-3-thione 	107000	400
33574-11-7	2,4,6-triisopropylbenzophenone  	116000	7000
33574-16-2	3',5'-diisopropyl-4,4-dimethyl-3-phenyl-1,2-benzocyclobuten-3-ol 	117900	
33719-74-3	3,5-dichloroanisole 	79000	1500
3376-24-7	benzylidene tert-butylamine N-oxide   	86800	900
3383-21-9	3,5-di-tert-butyl-o-benzoquinone 	106100	1300
3383-32-2	1,2,4,5-tetraphenylbenzene 	161400	1600
33892-75-0	3,4-dihyro-5-methoxy-1(2H)-naphthalenone 	97900	400
3433-37-2	2-piperidinemethanol 	93000	500
34392-63-7	4-amino-N-(3,4-chlorophenyl)benzene sulfonamide 	167500	3600
34392-72-8	4-amino-N-(5-chloro-2-methylphenyl)benzenesulfonamide 	130000	1000
3445-76-9	5-phenyl-1,2-dithiole-3-thione 	123300	400
3451-55-6	cyclodeca-1,2,6,7-tetraene 	73000	400
3460-18-2	2,5-dibromonitrobenzene 	97000	400
34619-03-9	di-tert-butylcarbonate 	65400	200
3470-50-6	6-hydroxy-?-tetralone 	117500	1400
3481-20-7	2,3,5,6-tetrachloroaniline 	86000	2000
34846-64-5	3-cyanoquinoline 	92250	
350-46-9	4-fluoronitrobenzene 	70900	300
350-62-9	1,1-difluoro-1,2-diphenylethane 	94700	900
351-81-7	coumarin-3-carboxylic acid 	118200	2700
35117-21-6	pentacyclo[18.2.2.2(9,12).0(4,15).0(4,15).0(6,17)]hexacos-4,6(17),9,11,-15,20,22,23,25-nonane (triple layered [2.2]paracyclophane) 	125900	2500
352-33-0	1-chloro-4-iodobenzene 	71880	
35302-72-8	2-trichloroacetylpyrrole 	90400	300
3531-19-9	2-chloro-4,6-dinitroaniline 	115000	900
354-38-1	trifluoroacetamide   	77700	1400
355-49-7	n-perfluorohexadecane 	104600	
3575-31-3	4-octylbenzoic acid 	135050	
35823-10-0	N,N'-dimethyl-N,N'-dinitro-1,6-hexanediamine 	125500	1700
3585-88-4	4-nitrobenzylidene tert-butylamine N-oxide 	116500	3100
3585-93-1	N-(4-methoxyphenylmethylene) benzenamine N-oxide 	130600	1200
3597-91-9	4-biphenylmethanol 	107300	1800
35975-00-9	5-amino-6-nitroquinoline 	136400	800
363-81-5	2,4,6-trifluoroaniline 	66000	1200
36330-85-5	3-(4-biphenylylcarbonyl)propionic acid  	154900	800
3638-73-1	2,5-dibromoaniline 	85700	1900
366-18-7	2,2'-bipyridine 	81800	2300
3663-80-7	(dl) 1,4-benzodioxan-2-carboxylic acid 	117800	2100
3663-82-9	1,4-benzodioxan-2-hydroxymethyl 	106900	800
36653-82-4	1-hexadecanol 	169500	2100
367-34-0	2,4,5-trifluoroaniline 	73700	1200
37014-01-0	tetrahydro-2,6-diphenyl-4H-thiopyran-4-one 	144000	3000
371-41-5	4-fluorophenol 	73900	1400
3718-65-8	3,5-dimethylpyridine N-oxide 	100900	2300
3729-34-8	1,4-dicyanobenzene di-N-oxide 	73000	2000
3732-31-8	1,1’-biadamantane 	113800	1400
3759-60-2	1,1,3,3-tetranitrobutane 	87900	800
376-03-4	perfluorotridecane 	94300	500
37933-88-3	N-acetyl L-valinamide 	133100	2200
37942-07-7	3,5-di-tert-butyl-2-hydroxybenzaldehyde 	96000	500
38256-01-8	l,1’-diadamantyl ketone 	109000	1800
38350-87-7	4-heptylbenzoic acid 	130000	900
3839-22-3	2-cyanobenzoic acid 	114600	1300
38557-82-3	4-pyridinecarboxamide N-oxide 	125300	1800
3867-15-0	1-(1-piperidinyl)cyclohexanecarbonitrile 	87800	600
3878-45-3	triphenylphosphine sulfide 	142800	6800
39079-62-4	chromone-3-carboxylic acid 	113800	1200
39227-53-7	1-chlorodibenzo[b,e][1,4]dioxin 	95200	1100
39227-54-8	2-chlorodibenzo[b,e][1,4]dioxin 	97500	
3934-20-1	2,4-dichloropyrimidine 	76500	2000
39522-76-4	1-phenyl-4,7-dioxaspiro[2.4]heptane 	91800	800
39546-32-2	4-piperdinecarboxamide 	123600	1300
39565-00-9	2-acetyl-5-nitrothiophene 	101500	400
3964-18-9	2,3-dinitro-2,3-dimethylbutane 	79500	800
398995-30-7	N,N-diethyl-N’-isovaleroylthiourea 	121500	3200
398995-31-8	N,N-diethyl-N’-pivaloylthiourea 	114900	2700
40016-70-4	2-methyl-3-carboxymethoxyquinoxaline-1,4-dioxide 	118300	2600
4008-48-4	5-nitro-8-hydroxyquinoline  	112650	
402-67-5	3-fluoronitrobenzene 	72300	300
403-54-3	3-fluorobenzonitrile 	65400	300
4066-41-5	5-acetyl-2-thiophenecarboxylic acid 	123500	600
40915-96-6	peroxytridecanoic acid 	142700	5000
40932-63-6	3-acetyl-2-methyl-5-phenylthiophene 	108900	400
4138-26-5	3-piperidinecarboxamide 	112500	1300
41643-38-9	4-hexylbenzoic acid 	123600	1000
41902-42-5	tri-tert-butylmethanol  	63200	1200
420-04-2	 cyanamide 	75200	
4210-60-0	?-tert-butylmalononitrile 	59800	700
42216-58-0	1,1,1,3-tetranitro-2-methylpropane 	91200	
4238-71-5	1-benzylimidazole 	102100	400
425-32-1	1,1,2,2-tetrafluoro-1,2-diphenylethane 	101800	
4270-27-3	6-chlorouracil 	135200	2000
43044-69-5	1,1,1-triphenylbutane 	114300	1100
4344-87-0	3-methyl-3-pyrazoline-5-one 	111400	600
4359-34-6	2,2-diphenyl-1,3-dioxolane 	99700	1100
4376-18-5	monomethyl phthalate 	117900	800
4384-23-0	[6.6]-para-cyclophane 	115100	2100
4385-35-7	3-isochromanone 	97300	
4389-45-1	2-amino-3-methylbenzoic acid 	107300	1800
4389-50-8	2-amino-6-methylbenzoic acid 	116100	2000
439118-58-8	4-amino-N-(2,5-chlorophenyl)benzene sulfonamide 	155400	1600
4394-00-7	3-Pyridinecarboxylic acid, 2-[[3-(trifluoromethyl)phenyl]amino]- 	130200	800
4413-48-3	5-methoxybenzofurazan 	89200	700
4421-09-4	5-cyano-1,3-benzodioxole 	90900	900
4421-32-3	Pentacyclo[5.4.0.02,6.03,10.05,9]undecane 	54900	1100
445-28-3	o-fluorobenzamide 	95400	300
445-29-4	2-fluorobenzoic acid   	94400	800
446-35-5	2,4-difluoronitrobenzene 	72800	200
4480-83-5	diglycolic anhydride 	90500	600
4511-42-6	(l) 3,6-dimethyl-1,4-dioxane-2,5-dione 	86200	400
451472-11-0	N,N-diisobutyl-N’-furoylthiourea 	141700	5600
4518-10-9	methyl 3-aminobenzoate 	94600	100
452-86-8	3,4-dihydroxytoluene 	94900	1000
4521-33-9	5-nitro-2-thiophenecarboxaldehyde 	92000	500
4533-42-0	1-(4-nitrophenyl)pyrrole 	112400	400
4543-66-2	dodecanedinitrile 	34330	
455-37-8	m-fluorobenzamide 	104100	500
455-38-9	3-fluorobenzoic acid   	93600	600
4552-64-1	1,1,1-trifluoro-4-(2-thienyl)-4-mercapto-3-buten-2-one 	95100	3700
456-22-4	4-fluorobenzoic acid   	93100	3800
4606-65-9	3-piperidinemethanol 	95900	1400
462-08-8	3-aminopyridine   	82800	
471-46-5	oxamide   	117300	1200
471-47-6	oxalic acid, monoamide 	108900	2100
47182-04-7	N-ethyl triphenylphosphine imine 	75300	8400
4774-14-5	2,6-dichloropyrazine 	69900	2000
4780-79-4	1-naphthalenemethanol 	102300	1900
479-27-6	1,8-diaminonaphthalene 	96550	
479-45-8	2,4,6-N-tetranitro-N-methylaniline   	133800	1600
4792-83-0	p-azoxyphenetole 	126200	2700
480-63-7	2,4,6-trimethylbenzoic acid   	103600	300
480-96-6	benzofurazan N-oxide 	79600	1700
481-21-0	17-(1,5-dimethylhexyl)-10,13-dimethyl-hexahydro-1H-cyclopenta[a]-phenanthrene (5-a-cholestane) 	133800	
482-05-3	2,2'-biphenyldicarboxylic acid  	151900	3500
486-25-9	9-fluorenone 	92860	
487-26-3	2,3-dihydro-2-phenyl-4H-1-benzopyran-4-one 	107200	2300
488-17-5	3-methyl-1,2-dihydroxybenzene   	93200	1000
488-81-3	1,2,3,4,5-pentahydroxypentane (adonitol) 	161000	
488-82-4	1,2,3,4,5-pentahydroxypentane (D-arabinitol) 	160000	
488-93-7	3-furancarboxylic acid 	87100	500
489-98-5	2,4,6-trinitroaniline   	125300	800
490-06-2	6-methyl-3-isopropyl-1,2-dihydroxybenzene 	96600	900
490-79-9	2,5-dihydroxybenzoic acid   	130400	1300
491-30-5	1-hydroxyisoquinoline 	113600	2200
491-37-2	chromanone 	84600	1300
491-38-3	chromone 	83900	
492-22-8	thioxanthone 	111700	
492-97-7	2,2’-bithiophene 	85200	400
4920-80-3	3-methoxy-2-nitrobenzoic acid 	141900	1300
493-05-0	isochroman 	57100	100
493-08-3	chroman 	56700	100
493-77-6	2,4,6-triphenyltriazine 	150700	1200
4940-11-8	2-ethyl-3-hydroxy-4-pyrone 	91400	2000
495-76-1	1,3-benzodioxole-5-methanol 	103700	700
49570-30-1	1,4-dimethyl-2,3-diazabicyclo[2.2.2]octane 	72000	500
496-73-1	2,4-dihydroxytoluene 	107300	3000
498-21-5	2-methylbutanedioic acid 	121700	2300
498-66-8	bicyclo[2.2.1]hept-2-ene 	38070	
499-06-9	3,5-dimethylbenzoic acid   	102300	300
499-83-2	pyridine-2,6-dicarboxylic acid 	137100	5700
500-99-2	3,5-dimethoxyphenol 	101100	2300
5006-66-6	6-hydroxynicotinic acid 	146400	4600
501-52-0	3-phenylpropionic acid 	102400	800
501-65-5	diphenylacetylene 	95200	
502-72-7	cyclopentadecanone  	86000	600
502-97-6	1,4-dioxane-2,5-dione 	87800	1600
5022-29-7	N-ethylphthalimide 	90900	1200
504-02-9	1,3-cyclohexanedione 	89800	1100
504-15-4	3,5-dihydroxytoluene 	102900	3500
504-17-6	thiobarbituric acid 	118300	2200
504-24-5	4-aminopyridine   	88400	
504-29-0	2-aminopyridine   	76500	400
5044-22-4	2,5-dimethyl-1-(4-nitrophenyl)pyrrole 	105800	600
5044-38-2	1-(4-chlorophenyl)pyrrole 	83700	
505-23-7	1,3-dithiane 	61700	
505-29-3	1,4-dithiane 	65950	
505-48-6	octanedioic acid (suberic acid) 	147800	3800
505-54-4	hexadecanedioic acid   	155400	3300
5081-36-7	3-methoxy-4-nitrobenzoic acid 	131000	1100
51-17-2	benzimidazole 	98470	
51-20-7	5-bromouracil 	151400	2500
51-21-8	5-fluorouracil 	133200	2100
51-79-6	ethyl carbamate 	77000	
5104-49-4	2-fluoro-?-methyl[1,1’-biphenyl]-4-acetic acid (R,S flurbiprofen) 	110200	500
5154-02-9	1,5-dihydroxyisoquinoline 	123600	2200
516-05-2	methylmalonic acid 	117400	1900
5162-03-8	2-chlorobenzophenone 	100200	400
517-25-9	trinitromethane 	45200	2100
519-73-3	triphenylmethane 	110550	
52-90-4	L-cysteine   	146400	1400
521-74-4	5,7-dibromo-8-hydroxyquinoline   	117300	1300
52130-17-3	3-amino-2-methylbenzoic acid 	127800	2600
52251-71-5	2-ethylanthracene 	107600	600
525-82-6	2-phenyl-4H-1-benzopyran-4-on 	108200	1700
527-17-3	2,3,5,6-tetramethyl-1,4-benzoquinone 	93200	1200
527-60-6	2,4,6-trimethylphenol 	88900	
527-72-0	2-thiophenecarboxylic acid 	94350	
527-85-5	o-methylbenzamide 	106100	300
528-29-0	1,2-dinitrobenzene 	91700	
528-45-0	3,4-dinitrobenzoic acid 	129000	2000
528-90-5	2,4,5-trimethylbenzoic acid 	109600	500
53-70-3	dibenz[a,h]anthracene 	162000	6000
530-78-9	2-[[3-(trifluoromethyl)phenyl]amino]benzoic acid 	121200	700
531-59-9	7-methoxycoumarin 	107300	1800
53130-19-1	tricyclo[4.3.1.03,8]decane 	65600	
5323-50-2	N-propylphthalimide 	98200	1400
5325-20-2	1,4-benzothiazin-3(2H,4H)-one 	117900	3800
533-31-3	5-hydroxy-1,3-benzodioxole (sesamol) 	92200	600
533-58-4	2-iodophenol 	76100	1400
533-73-3	1,2,4-trihydroxybenzene 	122000	
533-75-5	tropolone   	83700	800
534-59-8	butylmalonic acid 	124600	2300
53402-10-1	(1R) (-)-thiocamphor 	61700	900
535-80-8	3-chlorobenzoic acid 	101500	
536-66-3	4-isopropylbenzoic acid 	99000	300
538-51-2	N-phenyl-benzaldehyde imine 	95900	
5380-42-7	methyl 2-thiophenecarboxylate 	77800	
5388-62-5	4-chloro-2,6-dinitroaniline 	105200	700
539-47-9	2-furanacrylic acid 	102350	
54-20-6	5-(trifluoromethyl)uracil 	110800	900
540-37-4	4-iodoaniline 	84800	1400
540-38-5	4-iodophenol 	88700	1600
5401-94-5	5-nitroindazole 	121200	900
541-35-5	butyramide 	83130	
54127-63-8	5-chloro-6-hydroxynicotinic acid 	151300	2800
5426-62-0	N-benzyl-?-alanine 	171600	3700
5432-74-6	2,3-dimethylquinoxaline 1,4-dioxide 	124400	2700
54334-63-3	diphenylmethylene diacetate 	123600	1200
5437-38-7	3-methyl-2-nitrobenzoic acid 	124400	2700
5438-19-7	4-propoxybenzoic acid 	126000	500
5453-67-8	dimethyl pyridine-2,6-dicarboxylate 	113500	3800
5457-42-1	di-tert-butyl-isopropylmethanol 	59300	800
5460-29-7	N-(3-bromopropyl)phthalimide 	116000	1000
5465-29-2	2-propylbenzimidazole 	109400	1200
5466-88-6	2H-1,4-benzoxazin-3(4H)-one 	106400	3000
55-21-0	benzamide   	102400	
55-22-1	4-pyridinecarboxylic acid 	112600	
55-63-0	glycerol trinitrate 	92000	2100
550-44-7	N-methylphthalimide 	91100	500
5511-18-2	1-adamantyl carboxamide 	108000	500
552-16-9	2-nitrobenzoic acid 	118700	500
5521-55-1	2-methyl-5-pyrazine carboxylic acid 	100900	1500
553-26-4	4,4'-bipyridine 	106300	2800
553-90-2	dimethyl oxalate 	74950	
55337-75-2	1,3-dithiane sulfone 	103600	900
554-00-7	2,4-dichloroaniline 	84700	1300
554-84-7	3-nitrophenol   	95700	
5558-66-7	2,2-diphenylacetic acid 	129000	500
556-08-1	4-(acetylamino)benzoic acid 	148900	1100
556-88-7	nitroguanidine   	142700	2000
558-13-4	carbon tetrabromide 	54500	700
5580-80-3	2,3,4,5-tetrafluoroaniline 	74300	1300
56-04-2	6-methyl-2-thiouracil 	140700	900
56-40-6	glycine   	138100	4600
56-41-7	L-(d)-alanine   	144800	4200
56-55-3	benz[a]anthracene 	123300	3000
5603-34-9	pentacyclo[4.4.0.02,503,804,7]dec-9-ene (basketene) 	55300	500
562-46-9	4,4-dimethyl-1,3-cyclohexanedione 	99200	2100
563-83-7	2-methylpropanamide 	86000	200
56341-36-7	1,5-dimethyl-2-pyrrolecarbonitrile 	78300	1600
5651-47-8	3-isopropylbenzoic acid 	104100	300
5662-95-3	3,3-tetramethyleneglutaric acid anhydride 	96400	1100
56711-06-9	N-acetyl (l)-isoleucine amide 	147400	300
569-41-5	1,8-dimethylnaphthalene 	82700	300
57-13-6	urea   	97050	
57-44-3	5,5’-diethylbarbituric acid 	117300	600
574-00-5	1,2-dihydroxynaphthalene 	109300	900
574-45-8	N-phenyl benzophenone imine  	119700	1800
574-98-1	N-(2-bromoethyl)phthalimide 	108700	1000
5754-91-6	1,3-dinitro-1,3-diazacyclopentane 	105400	800
576-24-9	2,3-dichlorophenol  	74300	
576-26-1	2,6-dimethylphenol 	75350	
577-19-5	2-bromo-1-nitrobenzene 	85200	300
578-66-5	8-aminoquinoline  	93330	500
579-75-9	2-methoxybenzoic acid 	107700	
58-08-2	caffeine 	114500	
58-55-9	1,3-dimethylxanthine 	140330	
58-72-0	triphenylethylene 	112200	1900
58-89-9	(1R,2r,3S,4R,5r,6S)-1,2,3,4,5,6-hexachlorocyclohexane 	91600	
580-13-2	2-bromonaphthalene 	80270	
580-15-4	6-aminoquinoline  	105700	1000
580-17-6	3-aminoquinoline  	103950	
5809-38-1	3,5-dimethyl-1-phenyl-4-nitrosopyrazole 	89700	2000
581-47-5	2,4'-bipyridine 	87900	1700
581-96-4	2-naphthaleneacetic acid 	124600	1000
5813-90-1	9-xanthenecarboxamide 	133050	
5821-51-2	corannulene 	117900	
583-78-8	2,5-dichlorophenol  	75450	
58328-35-1	N-benzoyl-N',N'-diethylurea 	132200	2800
5840-81-3	2-mercapto-2-oxazoline 	105000	4400
585-34-2	3-tert-butylphenol 	87450	
585-76-2	3-bromobenzoic acid   	103370	
585-79-5	3-bromo-1-nitrobenzene 	86800	500
5851-43-4	2-isopropylbenzimidazole 	109900	2700
586-38-9	3-methoxybenzoic acid 	111100	
586-76-5	4-bromobenzoic acid   	105350	
586-78-7	4-bromo-1-nitrobenzene 	86600	600
589-87-7	1,4-bromoiodobenzene 	78520	
59-31-4	2-hydroxyquinoline   	117300	
59-48-3	oxindole 	99700	2500
59-49-4	2-benzoxazolinone 	97600	2200
59-67-6	3-pyridinecarboxylic acid 	116150	
591-07-1	acetylurea 	103100	
591-27-5	3-aminophenol   	103150	
591-35-5	3,5-dichlorophenol 	82800	1100
592-31-4	N-butylurea 	105800	700
593-45-3	octadecane 	152700	
594-82-1	2,2,3,3-tetramethylbutane 	43150	
595-46-0	dimethylmalonic acid 	111700	2100
595-86-8	1,1,1-trinitroethane 	72000	8800
595-91-5	triphenylacetic acid 	152200	900
597-43-3	2,2-dimethylsuccinic acid 	122700	2700
598-50-5	N-methylurea   	96300	
598-52-7	N-methylthiourea 	112900	3000
598-55-0	methyl carbamate 	73600	1300
598-94-7	1,1-dimethylurea 	93500	300
598-95-0	acridone 	136200	500
599-67-7	1,1-diphenylethanol 	105000	800
60-32-2	6-aminohexanoic acid 	155000	3000
60-35-5	acetamide 	79270	
6004-38-2	tricyclo[5.2.1.02,6]decane 	52900	1300
601-75-2	ethylmalonic acid 	112800	2200
602-60-8	9--nitroanthracene 	115400	600
602-99-3	3-hydroxy-2,4,6-trinitrotoluene  	111200	2100
6025-60-1	1-(2-aminophenyl)pyrrole 	98800	400
603-35-0	triphenylphosphine 	113200	3000
603-71-4	2,4,6-trimethylnitrobenzene 	78600	1000
603-79-2	2,3-dimethylbenzoic acid   	104600	400
60466-75-3	9-methoxy-1,4-anthraquinone 	131500	2300
6050-13-1	2,2'-biphenyldicarboxylic anhydride  	120700	4000
606-23-5	1,3-indandione 	97300	1800
606-83-7	3,3-diphenylacetic acid 	132300	400
607-34-1	5-nitroquinoline 	94200	700
607-35-2	8-nitroquinoline 	106700	900
607-66-9	4-methyl-2-hydroxyquinoline   	128100	1600
608-25-3	2,6-dihydroxytoluene 	99200	2300
608-27-5	2,3-dichloroaniline 	82200	1000
608-30-0	2,6-dibromoaniline 	80700	1400
608-31-1	2,6-dichloroaniline 	74200	900
608-33-3	2,6-dibromophenol 	83400	1500
608-93-5	pentachlorobenzene 	87100	400
609-70-1	4-hydroxynicotinic acid 	148100	3700
609-71-2	2-hydroxynicotinic acid 	128300	5100
61-68-7	2-[(2,3-dimethylphenyl)amino]benzoic acid 	136300	800
610-30-0	2,4-dinitrobenzoic acid 	135000	2000
610-72-0	2,5-dimethylbenzoic acid   	105000	600
610-78-6	4-chloro-3-nitrophenol 	111000	3300
611-01-8	2,4-dimethylbenzoic acid   	103500	300
611-06-3	2,4-dichloro-1-nitrobenzene 	87800	1700
611-08-5	6-amino-1,3-dimethyluracil 	148700	
611-34-7	5-aminoquinoline  	104150	
611-35-8	4-chloroquinoline 	78600	1700
611-36-9	4-hydroxyquinoline   	135100	1100
611-74-5	N,N-dimethylbenzamide 	91100	
612-19-1	2-ethylbenzoic acid 	100900	
612-24-8	2-nitrobenzonitrile 	88100	1400
612-57-7	6-chloroquinoline 	80800	1900
612-62-4	2-chloroquinoline 	84300	2600
612-71-5	1,3,5-triphenylbenzene 	149560	
612-94-2	2-phenylnaphthalene 	107600	600
612-96-4	2-phenylquinoline 	105400	900
613-31-0	9,10-dihydroanthracene 	94200	800
613-33-2	4,4'-dimethylbiphenyl   	95170	
613-46-7	2-cyanonaphthalene 	91400	
613-50-3	6-nitroquinoline 	103800	1000
613-90-1	benzoylnitrile 	78700	4200
613-93-4	N-methylbenzamide   	101000	200
6146-52-7	5-nitroindole 	110500	1000
615-13-4	2-indanone 	78300	1100
615-16-7	1,3-dihydro-2H-benzimidazol-2-one 	126400	2400
615-36-1	2-bromoaniline 	75000	1400
615-43-0	2-iodoaniline 	81300	1400
615-57-6	2,4-dibromoaniline 	88000	1500
615-58-7	2,4-dibromophenol 	81300	1500
61522-53-0	3-(methoxycarbonyl)-2-methoxyquinoxaline-1-oxide 	118100	3300
6169-94-4	[1,8]-para-cyclophane 	110900	2100
617-62-9	2-methylglutaric acid 	126500	2100
617-94-7	?,?-dimethylbenzyl alcohol 	82300	700
618-47-3	m-methylbenzamide 	107800	300
618-51-9	3-iodobenzoic acid   	103750	
618-62-2	3,5-dichloro-1-nitrobenzene 	83200	1500
619-08-9	2-chloro-4-nitrophenol 	99000	2100
619-20-5	3-ethylbenzoic acid 	99410	
619-24-9	3-nitrobenzonitrile 	92800	300
619-42-1	methyl 4-bromobenzoate 	89300	200
619-44-3	methyl 4-iodobenzoate 	97000	400
619-45-4	methyl 4-aminobenzoate 	103800	
619-55-6	p-methylbenzamide 	109600	300
619-57-8	4-hydroxybenzamide 	123750	
619-58-9	4-iodobenzoic acid   	106100	
619-64-7	4-ethylbenzoic acid   	99200	
619-65-8	4-cyanobenzoic acid 	111200	400
619-72-7	4-nitrobenzonitrile 	91100	1300
619-84-1	4-(dimethylamino)benzoic acid 	120300	500
619-86-3	4-ethoxybenzoic acid 	122600	
62-23-7	4-nitrobenzoic acid 	119700	600
62-55-5	thioacetamide   	83050	
62-56-5	thiourea   	110650	
620-24-6	3-hydroxybenzyl alcohol 	116000	3700
621-23-8	1,3,5-trimethoxybenzene 	100600	1900
621-72-7	2-benzylbenzimidazole 	136200	500
62154-78-3	2,3,3-trinitro-2-methylpentane  	90800	
623-05-2	4-hydroxybenzyl alcohol 	129300	4700
623-26-7	1,4-dicyanobenzene   	89250	
623-76-7	1,3-diethylurea 	95400	300
6237-59-8	hexamethoxycarbonylbenzene 	154300	1200
624-28-2	2,5-dibromopyridine 	82100	2200
624-49-7	dimethyl fumarate 	88400	1600
625-53-6	1-ethylthiourea 	118800	
625-77-4	diacetamide 	73200	800
626-02-8	3-iodophenol 	88400	1600
626-05-1	2,6-dibromopyridine 	85600	3000
626-17-5	1,3-dicyanobenzene   	90100	1500
626-41-5	3,5-dibromophenol 	94300	1800
626-48-2	6-methyluracil   	131000	
626-64-2	4-hydroxypyridine 	111200	
62626-83-9	1,1,1,2,2-pentanitropropane 	77400	1300
6270-06-0	N-(2-chloroethyl)phthalimide 	98400	1900
628-02-4	hexanamide   	91850	
628-96-6	dithiooxamide   	103800	
6283-25-6	2-chloro-5-nitroaniline 	100650	
62850-21-9	1,1,2,2-tetra-tert-butylethane 	74300	
629-11-8	1,6-hexanediol 	112000	
629-41-4	1,8-octanediol   	139300	900
629-92-5	nonadecane 	143600	
629-96-9	1-eicosanol 	223000	3800
63-68-3	L-(d)-methionine   	164000	4000
630-76-2	tetraphenylmethane 	145300	
6310-76-5	N,N’-ethylenebis(4-aminopent-3-ene-2-one) 	131600	
632-46-2	3,4-dimethylbenzoic acid   	106400	300
632-50-8	1,1,2,2-tetraphenylethane 	136800	2900
632-51-9	tetraphenylethene 	133400	700
634-36-6	1,2,3-trimethoxybenzene 	98000	300
634-66-2	1,2,3,4-tetrachlorobenzene 	78800	200
634-67-3	2,3,4-trichloroaniline 	92400	1700
634-90-2	1,2,3,5-tetrachlorobenzene 	79600	300
634-91-3	3,4,5-trichloroaniline 	92900	3300
634-93-5	2,4,6-trichloroaniline 	85300	1900
634-95-7	1,1-diethylurea 	95700	700
634-97-9	pyrrole-2-carboxylic acid   	100800	900
6342-77-4	3-(2-methoxyphenyl)propionic acid 	117800	1400
635-10-9	1,2,4,5-tetramethoxycarbonylbenzene 	139600	
635-90-5	1-phenylpyrrole 	81300	
636-26-0	5-methyl-2-thiouracil 	137300	900
636-30-6	2,4,5-trichloroaniline 	86300	2500
636-44-2	2,5-dimethyl-3-furancarboxylic acid 	99950	
636-93-1	2-methoxy-5-nitrophenol 	106200	2200
637-44-5	3-phenylpropiolic acid 	105000	1400
637-88-7	1,4-cyclohexanedione   	79600	
64-69-7	iodoacetic acid 	86500	1000
6418-38-8	2,3-difluorophenol 	68200	1500
644-08-6	4-methylbiphenyl 	80200	1400
6457-49-4	4-piperidinemethanol 	98300	700
65-45-2	2-hydroxybenzamide 	100600	
65-71-4	5-methyluracil   	134470	
65-85-0	benzoic acid 	90240	
6563-13-9	6-methoxyquinoline N-oxide 	117900	1000
6572-60-7	[2.2]-paracyclophane-1,9-diene 	93100	1200
6583-06-8	4-nitro-2,1,3-benzothiadiazole 	101800	4300
65990-96-7	2-emthyl-3-(phenylmethyl)quinoxaline-1,4-dioxide 	146600	3200
66-22-8	uracil   	131000	5000
6602-28-4	3-hydroxypyridine N-oxide 	121800	4400
661-19-8	1-docosanol 	238500	10000
6627-34-5	2,5-dichloro-4-nitrobenzenamine 	114300	900
6628-04-2	4-aminoquinaldine 	114230	
6639-86-7	2-methylquinoxaline-1,4-dioxide 	107000	6200
6641-64-1	4,5-dichloro-2-nitroaniline 	109400	900
6671-66-5	bicyclo[3.3.1]non-2-ene   	48200	400
67-51-6	3,5-dimethylpyrazole 	83400	2400
67-52-7	barbituric acid 	115100	700
6705-03-9	2-amino-5-methoxybenzoic acid 	119300	800
676-08-4	peroxyundecanoic acid  	125900	3400
681-57-2	2,2-dimethylglutaric acid 	126800	2100
6829-82-9	4-amino-N-(4-nitrophenyl)benzenesulfonamide 	131400	2600
6836-19-7	3,4-dihyro-7-methoxy-1(2H)-naphthalenone 	103100	900
68643-31-2	1,1,1-trifluoro-2,2,2-triphenylethane 	112300	1000
68862-02-2	2-(biphen-4-yl)naphthalene 	140200	1300
689-11-2	N-sec-butylurea 	101900	500
68936-77-6	1,1,2-trifluoro-1,2-diphenylethane 	93100	
