Electrolyte name	Electrolyte CAS	Electrolyte Formula	Anion formula	Anion CAS	Anion charge	Anion count	Cation formula	Cation CAS	Cation charge	Cation count
Thallium(I) bromide	7789-40-4	TlBr	Br-	24959-67-9	-1	1	Tl+	22537-56-0	1	1
Thallium(I) chloride	7791-12-0	TlCl	Cl-	16887-00-6	-1	1	Tl+	22537-56-0	1	1
Thallium(I) iodide	7790-30-9	TlI	I-	20461-54-5	-1	1	Tl+	22537-56-0	1	1
Thallium(I) nitrate	10102-45-1	TlNO3	NO3-	14797-55-8	-1	1	Tl+	22537-56-0	1	1
Thulium chloride	13537-18-3	TmCl3	Cl-	16887-00-6	-1	3	Tm+3	22541-23-7	3	1
Ytterbium(II) chloride	13874-77-6	YbCl2	Cl-	16887-00-6	-1	2	Yb+2	22541-96-4	2	1
Ytterbium(III) chloride	10361-91-8	YbCl3	Cl-	16887-00-6	-1	3	Yb+3	18923-27-8	3	1
Zinc orthosilicate	14374-77-7	Zn2SiO4	SiO4-4	17181-37-2	-4	1	Zn+2	23713-49-7	2	2
Zinc phosphate	7779-90-0	Zn3(PO4)2	PO4-3	14265-44-2	-3	2	Zn+2	23713-49-7	2	3
Zinc arsenate	13464-44-3	Zn3(AsO4)2	AsO4-3	15584-04-0	-3	2	Zn+2	23713-49-7	2	3
Zinc bromide	7699-45-8	ZnBr2	Br-	24959-67-9	-1	2	Zn+2	23713-49-7	2	1
Dicyanozincate	557-21-1	Zn(CN)2	CN-	57-12-5	-1	2	Zn+2	23713-49-7	2	1
Zinc carbonate	3486-35-9	ZnCO3	CO3-2	3812-32-6	-2	1	Zn+2	23713-49-7	2	1
Zinc iodide	10139-47-6	ZnI2	I-	20461-54-5	-1	2	Zn+2	23713-49-7	2	1
Zinc iodate	7790-37-6	Zn(IO3)2	IO3-	15454-31-6	-1	2	Zn+2	23713-49-7	2	1
Zinc selenite	13597-46-1	ZnSeO3	SeO3-2	14124-67-5	-2	1	Zn+2	23713-49-7	2	1
Zinc selenate	13597-54-1	ZnSeO4	SeO4-2	14124-68-6	-2	1	Zn+2	23713-49-7	2	1
Zinc Nitrate	7779-88-6	Zn(NO3)2	NO3-	14797-55-8	-1	2	Zn+2	23713-49-7	2	1
Zinc Chloride	7646-85-7	ZnCl2	Cl-	16887-00-6	-1	2	Zn+2	23713-49-7	2	1
Zinc Sulfate	7733-02-0	ZnSO4	SO4-2	14808-79-8	-2	1	Zn+2	23713-49-7	2	1
