CASRN	Chemical	Hvap298
1502-06-3	cyclodecanone 	58400
151-10-0	1,3-dimethoxybenzene 	60600
151-67-7	2-bromo-2-chloro-1,1,1-trifluoroethane 	29700
1513-62-8	dimethylperfluoroglutarate 	52300
1517-05-1	2-azidoethanol 	62200
1518-72-5	diisobutyl disulfide 	57200
1522-22-1	1,1,1,5,5,5-hexafluoropentan-2,4-dione 	30600
15232-76-5	3-octyne 	43900
1530-03-6 	1,1-diphenylpropane 	72800
153296-45-8	butyl tert-octyl ether 	52900
15351-09-1	2-(dimethylamino)-1-phenyl-1-propanone 	64800
153557-96-1	perdeuterocyclopropylamine 	32000
15364-56-4	1-(dimethylamino)-2-propanone 	43600
155055-27-9	(E) 4-hexadecenyl acetate 	98900
1551-21-9	methyl isopropyl sulfide 	34100
1551-27-5	2-propylthiophene 	43700
1551-43-5	cyclohexyl valerate 	64300
1551-44-6	cyclohexyl butyrate 	60300
1552-12-1	cis cis 1,5-cyclooctadiene 	43400
155235-07-7	(E) 9-dodecenal 	70400
1563-86-6	N-acetyl-N-butylacetamide 	64400
1569-69-3	cyclohexanethiol 	44800
157-40-4	spiropentane 	27500
15706-73-7	butyl 2-methylbutanoate 	52500
1572-99-2	ethyl 2-cyanopropionate 	58600
1574-41-0	cis 1,3-pentadiene 	28300
15840-60-5	cis 2-methyl-3-hexene 	34300
15869-80-4	3-ethylheptane 	44500
15869-85-9	5-methylnonane 	49800
15869-86-0	4-ethyloctane 	48100
15869-87-1	2,2-dimethyloctane 	49000
15869-89-3	2,5-dimethyloctane 	49000
15869-92-8	3,4-dimethyloctane 	48100
15869-93-9	3,5-dimethyloctane 	48500
15869-94-0	3,6-dimethyloctane 	47300
15869-95-1	4,4-dimethyloctane 	48100
15869-96-2	4,5-dimethyloctane 	48500
15870-10-7	2-methyl-1-heptene 	39300
15890-40-1	cis 1,2-trans-3-trimethylcyclopentane 	38100
158906-50-4	(Z) 12-pentadecen-1-ol 	106700
158906-51-5	(Z) 13-pentadecen-1-ol 	107700
158906-52-6	(E) 13-pentadecen-1-ol 	107700
15918-08-8	2-propyl-1-pentene 	39300
159255-01-3	1-nonyl-2-methylimidazole 	87400
1606-49-1	1,4,5,6-tetrahydropyrimidine 	75600
1608-26-0	tris(dimethylamino)phosphine 	41500
16106-59-5	4,5-dimethyl-1-hexene 	38500
1613-51-0	pentamethylene sulfide 	42800
16189-46-1	cis bicyclo[5.3.0]decane 	53600
1620-14-0	1-(diethylamino)-2-propanone 	47700
162047-90-7	2-methoxy-2-methylpentanenitrile 	48500
162047-91-8	2-methoxy-3,3-dimethylbutanenitrile 	58800
1625-92-9	4-tert-butylbiphenyl 	81300
1628-89-3	2-methoxypyridine 	43500
1630-94-0	1,1-dimethylcyclopropane 	25100
1632-16-2	2-ethyl-1-hexene 	39700
1632-76-4	3-methylpyridazine 	53200
1633-97-2	2-methyl-2-pentanethiol 	40000
1634-04-4	methyl tert-butyl ether 	30200
1634-11-3	2-methyl-1,1-diphenylpropane 	73200
1634-78-2	O,O-dimethyl-S-[1,2-bis(ethoxycarbonyl)ethyl]thiophosphate 	93400
1636-39-1	bicyclopentyl 	50400
1638-26-2	1,1-dimethylcyclopentane 	33900
1639-01-6	2,3-dimethyl-2-butanethiol 	39300
1639-09-4	1-heptanethiol 	50600
163983-29-7	7,7-dihexyltridecane 	115300
163983-30-0	1-decyl-1-undecylcyclohexane 	133600
1640-89-7	ethylcyclopentane 	36500
1641-09-4	3-thiophenecarbonitrile 	51600
1647-08-1	4,4-dimethyl-1-hexene 	31000
16484-17-6	trans 2-hexahydroindanone 	56100
16504-66-8	(Z) 7-decen-1-ol 	80800
16529-66-1	(E) 3-pentenenitrile 	44800
16554-83-9	bicyclo[4.1.0]hept-3-ene 	38400
16587-33-0	1,2,3,4-tetrahydrodibenzothiophene 	75300
16596-48-8	1,1,1-trinitropentane 	72000
16649-52-8	dibutyldiazene N-oxide 	45900
16676-96-3	(Z) 5-dodecenyl acetate 	79200
16676-97-4	(E) 5-dodecenyl acetate 	80000
16695-40-2	(E) 7-dodecen-1-ol 	90800
16695-41-3	(E) 7-dodecenyl acetate 	80200
16725-53-4	(Z) 9-tetradecenyl acetate 	89100
16737-30-7	1-methylcyclohexyl acetate 	52400
1674-33-5	1,2-dichloropentane 	44000
16745-94-1	3,4-dimethyl-1-hexene 	38900
16746-85-3	4-ethyl-1-hexene 	38900
16746-86-4	2,3-dimethyl-1-hexene 	38500
16746-87-5	2,4-dimethyl-1-hexene 	38500
16747-25-4	2,2,3-trimethylhexane 	41700
16747-26-5	2,2,4-trimethylhexane 	40700
16747-28-7	2,3,3-trimethylhexane 	42100
16747-30-0	2,4,4-trimethylhexane 	41100
16747-31-2	3,3,4-trimethylhexane 	42200
16747-32-3	2,2-dimethyl-3-ethylpentane 	41700
16747-33-4	2,3-dimethyl-3-ethylpentane 	42700
16747-38-9	2,3,3,4-tetramethylpentane 	41800
16747-42-5	2,2,4,5-tetramethylhexane 	44400
16747-44-7	2,2,3,3,4-pentamethylpentane 	45200
16747-45-8	2,2,3,4,4-pentamethylpentane 	43500
16747-50-5	1-ethyl-1-methylcyclopentane 	38900
1678-91-7	ethylcyclohexane 	40100
1678-92-8	propylcyclohexane 	44600
1678-93-9	butylcyclohexane 	49100
1678-98-4	isobutylcyclohexane 	47500
16789-46-1	2-methyl-3-ethylhexane 	43200
16789-51-8	3-ethyl-3-hexene 	39300
1679-08-9	2,2-dimethyl-1-propanethiol 	36600
1679-09-0	2-methyl-2-butanethiol 	35600
16806-93-2	6,7-dihydro-4(5H)-benzofuranone 	69400
1685-82-1	4,6-dimethylindane 	57900
1686-14-2	alpha-pinene oxide 	53600
1689-64-1	9-hydroxyfluorene 	91600
169054-69-7	(Z) 8-tetradecenal 	78800
1692-49-5	ethyl bis(trifluoromethyl)phosphinite 	33200
1693-86-3	3-hexylthiophene 	58500
16974-10-0	(Z) 7-tetradecenyl acetate 	88400
16974-11-1	(Z) 9-dodecenyl acetate 	80700
16974-12-2	(Z) 6-dodecenyl acetate 	79300
16979-32-1	ethyl nonyl ether 	60300
1704-62-7	2-[2-(dimethylamino)ethoxy]ethanol 	61700
1708-32-3	2,5-dihydrothiophene 	40000
17082-12-1	trans azobenzene 	72800
1712-69-2	4-methoxy-α-methylstyrene 	62100
1712-74-9	ethyl cumyl ether 	54700
17227-17-7	cis 2,2,4,6-tetramethyl-1,3-dioxane 	42300
1724-4807 	dipropyl glutarate 	73500
1725-03-7	oxa-2-cyclododecanone 	65300
1725-04-8	oxa-2-cyclotetradecanone 	72900
1730-37-6	1-methylfluorene 	78000
17301-94-9	4-methylnonane 	49500
17302-01-1	3-methyl-3-ethylheptane 	47700
17302-02-2	3,3-diethylhexane 	47300
17302-04-4	4-methyl-4-ethylheptane 	47200
1731-81-3	undecyl acetate 	76200
1731-84-6	methyl nonanoate 	60800
1731-86-8	methyl undecanoate 	70900
1731-88-0	methyl tridecanoate 	81300
1731-92-6	methyl heptadecanoate 	98900
1731-94-8	methyl nonadecanoate 	109500
17312-74-2	5-ethyl-5-methyldecane 	61000
1732-08-7	dimethyl pimelate 	73500
1732-09-8	dimethyl suberate 	78100
1732-10-1	dimethyl azelate 	82300
17348-59-3	isopropyl tert-butyl ether 	35000
17356-19-3	1-ethynyl-1-cyclopentanol 	62100
1738-36-9	methoxyacetonitrile 	41700
1741-83-9	methyl pentyl sulfide 	44900
174155-46-5	(Z) 8-decenal 	60500
174155-47-6	(E) 8-decenal 	60200
174155-48-7	(E) 4-dodecenal 	69900
174155-49-8	(E) 6-dodecenal 	67700
174155-50-1	(E) 3-tetradecenal 	80100
174155-51-2	(Z) 3-tetradecenal 	79400
174155-52-3	(E) 5-tetradecenal 	79100
174155-53-4	(Z) 6-tetradecenal 	78500
174155-54-5	(E) 6-tetradecenal 	79300
174155-55-6	(E) 8-tetradecenal 	79300
174155-56-7	(Z) 12-tetradecenal 	80800
174155-57-8	(E) 3-hexadecenal 	89600
174155-58-9	(Z) 3-hexadecenal 	89900
174155-59-0	(E) 4-hexadecenal 	88900
17455-13-9	1,4,7,10,13,16-hexaoxacyclooctadecane 	86100
17498-71-4	alpha-isopropylstyrene 	53300
175-93-9	spiro[4.4]nonane 	44500
1755-05-1	cis bicyclo[3.3.0]octane 	43100
1758-88-9	1,4-dimethyl-2-ethylbenzene 	52600
1759-58-6	(dl) trans 1,3-dimethylcyclopentane 	34500
176-32-9	1,4-dioxaspiro[4.4]nonane 	47600
176-63-6	spiro[4.5]decane 	54800
17636-88-3	1,1-difluoro-N-(trifluoromethoxy)-N,N’,N’-tris(trifluoromethyl)-methanediamine 	33700
1766-41-2	perfluorotetracosane 	141000
17697-55-1	dipropyldiazene N-oxide 	51700
177-10-6	1,4-dioxaspiro[4.5]decane 	50600
1777-44-2	tetracyclo[6,2,1,02,7,03,5]undecane 	55300
1779-19-7	1,3,6-trioxacyclooctane 	48800
1795-09-1	2-methyltetrahydrothiophene 	40700
1795-15-9	octylcyclohexane 	69800
1795-16-0	decylcyclohexane 	79700
1795-17-1	dodecylcyclohexane 	89200
1795-18-2	tetradecylcyclohexane 	99400
1795-20-6	n-octylcyclopentane 	65800
1795-21-7	decylcyclopentane 	75700
1795-22-8	tetradecylcyclopentane 	95400
180-43-8	spiro[5.5]undecane 	56100
1805-22-7	perfluoromethylcyclopentane 	30700
18172-67-3	(-) beta-pinene 	45900
1823-91-2	alpha-methylbenzylcyanide 	60900
18231-53-3	3,3-dimethyl-2-ethyl-1-butene 	38500
18362-64-6	2,6-dimethyl-3,5-heptanedione 	56100
1840-07-9	1-nitrodecafluoropiperadine 	29600
18435-45-5	1-nonadecene 	95000
18437-57-5	3-N,N-dimethylaminopyridine 	70700
18486-69-6	(-)-myrtenal 	55100
184899-81-8	1,1,1,2,2,3,3-heptafluoro-3-(fluoromethoxy)propane 	31000
185-94-4	bicyclo[2.1.0]pentane 	28000
1852-04-6	undecanedioic acid 	128200
18523-34-7	1,1-dimethoxy-2-phenylcyclopropane 	63700
1855-63-6	1-cyclohexene-1-carbonitrile 	53600
1864-94-4	phenylformate 	52900
187-26-8	tricyclo[4.1.0.02,4]heptane 	36500
187103-12-4	ethyl tert-octyl ether 	45300
1878-18-8	2-methyl-1-butanethiol 	39800
1879-09-0	2,4-dimethyl-6-tert-butylphenol 	68400
18794-77-9	2-hexylthiophene 	56400
18794-84-8	(E)-beta-farnesene 	72500
18854-31-4	1-propoxy-2-ethoxyethane 	46800
18854-56-3	1,2-dipropoxyethane 	50600
18854-58-5	1-butyoxy-2-propoxyethane 	54700
1886-57-3	2-nitro-1-tert-butylbenzene 	65000
1888-71-7	hexachloropropylene 	54800
191-07-1	coronene 	148000
19132-06-0	(S,S) 2,3-butanediol 	63200
192-97-2	benzo[e]pyrene 	111600
19220-93-0	acidic acid, pentafluorophenyl ester 	48100
19340-91-9	2-(diethylamino)pentanenitrile 	58800
193472-69-4	1-fluoro-3,3,3-triphenylpropane 	95900
19398-77-7	3,4-diethylhexane 	47700
1942-45-6	4-octyne 	42700
19432-68-9	methyl 2-thiopheneacetate 	61900
194784-95-5	tert-amyl isobutyrate 	47800
19485-35-9	4,5-dicyano-1-methylimidazole 	86900
19550-81-3	3,4-dimethyl-cis-2-hexene 	39300
19550-82-4	3,4-dimethyl-trans-2-hexene 	39300
19550-83-5	4,4-dimethyl-trans-2-hexene 	38100
19550-87-9	cis 3,4-dimethyl-3-hexene 	39700
19550-88-0	trans 3,4-dimethyl-3-hexene 	39700
19573-22-9	azidocyclohexane 	49200
19693-75-5	2-methoxy-1,3-dioxolane 	46400
1975-78-6	decanenitrile (caprinitrile) 	66600
19768-54-8	1-pentylimidazole 	69100
19780-66-6	3-ethyl-2-methyl-1-pentene 	37700
19780-67-7	2-methyl-3-ethyl-2-pentene 	39300
19781-63-6	4-ethyl-trans-2-hexene 	38900
198-55-0	perylene 	121300
19847-12-2	pyrazinecarbonitrile 	58700
19961-27-4	N-ethylisopropylamine 	33100
2004-70-8	trans 1,3-pentadiene 	27800
200501-98-0	1,1,1,2-tetrafluoro-2-(trifluoromethoxy)butane 	30300
20056-92-2	(Z) 7-dodecen-1-ol 	90500
20094-83-1	N,N’-(difluoromethylene)bisimidosulfuryl fluoride 	36000
2025-08-3	tris(trifluoromethyl)phosphine sulfide 	29100
20268-00-2	trans 2,2,4,6-tetramethyl-1,3-dioxane 	41900
20270-53-5	di-tert-butyl adipate 	74300
20278-84-6	2,4,5-trimethylheptane 	46900
20278-85-7	2,3,5-trimethylheptane 	47300
20278-88-0	3,4,4-trimethylheptane 	46400
20278-89-1	3,4,5-trimethylheptane 	47300
20282-30-8	3-isopropylbiphenyl 	77800
20291-91-2	2,2-dimethyl-3-ethylhexane 	46000
20291-95-6	2,2,5-trimethylheptane 	46000
20292-08-4	2-ethylhexyl laurate 	104500
202925-84-6	N-methyl-3-methyl-3-phenyl-2-butaneamine 	67500
20296-29-1	(dl) 3-octanol 	67900
203-64-5	4H-cyclopenta[def]phenanthrene 	83400
20379-99-1	trans octahydro-3a-methyl-2H-inden-2-one 	58300
2039-93-2	alpha-ethylstyrene 	51800
20395-24-8	1,1-dichlorooctane 	57700
2040-96-2	propylcyclopentane 	41100
20407-84-5	(E) 2-dodecenal 	72600
204189-06-0	3-nitro-3-(4-nitrophenyl)pentane 	90500
20488-34-0	2-methyl-cis-3-heptene 	38900
2049-94-7	isopentylbenzene 	53000
2049-95-8	tert-pentylbenzene 	52300
205-99-2	benzo[b]fluoranthene 	110400
2050-00-2	tert-amyl butyrate 	50000
2050-60-4	dibutyl oxalate 	71400
2050-67-1	3,3'-dichlorobiphenyl 	81000
2050-68-2	4,4'-dichlorobiphenyl 	81400
2051-30-1	2,6-dimethyloctane 	49300
2051-60-7	2-chlorobiphenyl 	72100
2051-61-8	3-chlorobiphenyl 	74300
2051-62-9	4-chlorobiphenyl 	71600
206-44-0	fluoranthene 	87600
207-08-9	benzo[k]fluoranthene 	111500
20710-38-7	trans 3-methyl-2-hexene 	35600
20711-10-8	(Z) 11-tetradecenyl acetate 	90000
20732-35-8	3,6-dimethyl-3,6-di-tert-butyl-1,2,4,5-tetraoxyacyclohexane 	53700
20734-58-1	1,8-N,N,N’,N’-tetramethyldiaminonaphthalene 	76700
2078-54-8	2,6-diisopropylphenol 	68700
208-96-8	acenaphthylene 	66900
2084-18-6	3-methyl-2-butanethiol 	37600
20845-34-5	1-methyl-2-piperidinemethanol 	68200
20893-30-5	2-thiopheneacetonitrile 	60500
21035-44-9	(dl) sec-butyl ethyl amine 	37900
21041-71-4	isobutylhydrazone isobutyraldehyde 	57200
2113-60-2	3-tert-butylbiphenyl 	79700
2114-42-3	allylcyclohexane 	44000
21202-52-8	1-ethyl-2-methylimidazole 	60400
21249-93-4	1,1,1-trifluoro-2-phenylethane 	46100
2131-18-2	pentadecylbenzene 	104600
2142-68-9	2'-chloroacetophenone 	60100
2146-37-4	ethylidenecyclopentane 	38600
2146-38-5	1-ethylcyclopentene 	38500
215-58-7	dibenz[a,c]anthracene 	132300
2159-75-3	dibutyldiazene 	49300
21604-76-2	tricyclo[4.2.2.02,5]dec-3,7,9-triene 	47900
2162-92-7	(dl) 1,2-dichlorohexane 	48300
2162-98-3	1,10-dichlorodecane 	73100
2162-99-4	1,8-dichlorooctane 	65600
2163-00-0	1,6-dichlorohexane 	56300
2163-42-0	2-methyl-1,3-propanediol 	72500
21661-97-2	(Z) 7-decenal 	59900
21662-08-8	(Z) 5-decenal 	58500
21662-09-9	(Z) 4-decenal 	59300
21662-10-2	(E) 7-decenal 	59800
21662-11-3	(E) 5-decenal 	59200
217-59-4	triphenylene 	106100
2177-22-2	3-ethyl-3-(chloromethyl)oxetane 	49700
218-01-9	chrysene 	101600
21944-98-9	(Z) 4-dodecenal 	69400
21948-46-9	1,2-dichlorooctane 	57600
21968-17-2	N-isopropyl propylamine 	37300
2207-01-4	cis 1,2-dimethylcyclohexane 	39600
2207-03-6	(dl) trans 1,3-dimethylcyclohexane 	39200
2207-04-7	(dl) trans 1,4-dimethylcyclohexane 	38500
2211-67-8	(dl) 2,3-dichlorobutane 	39700
2212-32-0	2-(2-N,N-dimethylaminoethyl-N-methylamino)ethanol 	65200
2213-23-2	2,4-dimethylheptane 	42900
2213-32-3	2,4-dimethylpent-1-ene 	33100
22147-38-2	(E) 9-octadecenyl acetate 	108700
2216-30-0	2,5-dimethylheptane 	43300
2216-32-2	4-ethylheptane 	44100
2216-33-3	3-methyloctane 	44900
2216-34-4	4-methyloctane 	44500
2216-51-5	(-)-menthol 	56600
2219-82-1	2-tert-butyl-6-methylphenol 	63800
22204-53-1	naproxen 	131700
22339-08-8	(+)-trans-verbenol 	55000
2234-16-4	2',4'-dichloroacetophenone 	63600
223564-75-8	3-bromophenyl isobutyl ether 	65300
2243-27-8	octyl cyanide 	60000
2244-07-1	undecanonitrile 	71500
2244-16-8	(+)-carvone 	58400
2253-44-3	O,O’-dibutyl dithiophosphate 	81800
22597-23-5	4-methylcyclohexyl acetate 	54100
2264-03-1	perfluoropentadecane 	82700
22768-17-8	3-methyl-cis-3-heptene 	39700
22768-18-9	3-methyl-trans-3-heptene 	39700
22768-19-0	3-methyl-cis-2-heptene 	39700
22768-20-3	3-methyl-trans-2-heptene 	39700
230-07-9	4,7-phenanthroline 	80800
230-17-1	benzo[c]cinnoline 	85300
230-46-6	1,7-phenanthroline 	79400
2305-25-1	ethyl 3-hydroxyhexanoate 	61900
2307-10-0	S-propyl thiolacetate 	44100
23192-42-9	(Z) 7-hexadecenyl acetate 	97800
23192-82-7	(E) 9-tetradecenyl acetate 	89600
23192-83-8	(E) 7-hexadecenyl acetate 	98500
2350-12-1	(dl) 2-chlorododecane 	65300
2350-13-2	(dl) 4-chlorododecane 	64100
2350-14-3	(dl) 5-chlorododecane 	65900
2363-71-5	heneicosanoic acid 	149200
2367-82-0	1,2,3,5-tetrafluorobenzene 	36000
2381-21-7	1-methylpyrene 	92300
2386-60-9	butyl sulfonyl chloride 	55700
2390-09-2	methyl Z 11-eicosenoate 	115800
2398-37-0	3-bromoanisole 	58000
2409-55-4	2-tert-butyl-4-methylphenol 	65700
24142-77-6	propyl cumyl ether 	59300
2425-54-9	1-chlorotetradecane 	86600
243-17-4	2,3-benzofluorene 	97500
2432-87-3	dioctyl sebacate 	120800
2432-88-4	didodecyl sebacate 	154500
2432-89-5	didecyl sebacate 	138700
24330-03-8	2:3,6:7-dibenzobicyclo[3.2.2]nona-2,6-dien-4-one 	94500
24331-71-3	N,N-dimethyl-tert-butylcarboxamide 	55100
2437-25-4	lauronitrile 	75500
2437-56-1	1-tridecene 	65300
2445-76-3	hexyl propanoate 	57100
2449-10-7	dihexyl sebacate 	106400
24544-04-5	2,6-diisopropylaniline 	69500
245658-24-6	3,3-dimethylbutanoic acid, 1,1-dimethylpropyl ester 	53200
245658-26-8	2-methyl-2-pentanol propanoate 	49800
245658-27-9	2-methylpropanoic acid, 1,1-dimethylbutyl ester 	51400
245658-29-1	2,2-dimethylpropanoic acid, 1,1-dimethylbutyl ester 	52300
245658-31-5	2,3-dimethyl-2-butanol 2-propanoate 	49900
245658-32-6	2-methylpropanoic acid, 1,1,2-trimethylpropyl ester 	51700
245658-35-9	2,2-dimethylpropanoic acid, 1,1,2-trimethylpropyl ester 	52800
245658-36-0	3,3-dimethylbutanoic acid, 1,1,2-trimethylpropyl ester 	57100
245658-37-1	2,4-dimethyl-2-pentanol, propanoate 	51700
245658-38-2	2-methylpropanoic acid, 1,1,3-trimethylbutyl ester 	53400
245658-40-6	2,2-dimethylpropanoic acid, 1,1,3-trimethylbutyl ester 	54200
245658-41-7	3,3-dimethylbutanoic acid, 1,1,3-trimethylbutyl ester 	58400
245658-43-9	2,6-dimethyl-2-heptanol propanoate 	59400
245658-44-0	2,2-dimethylpropanoic acid, 1,1,5-trimethylhexylester 	61300
245658-47-3	3,3-dimethylbutanoic acid, 1,1,5-trimethylhexyl ester 	67400
2459-07-6	methyl picolinate 	65600
2459-09-8	methyl isonicotinate 	62400
24608-84-2	5-methyl-cis-2-heptene 	39300
24608-85-3	5-methyl-trans-2-heptene 	39300
2461-40-7	glycidyl butyrate 	58400
2473-01-0	1-chlorononane 	55900
2473-03-2	1-chloroundecane 	68100
24748-23-0	3,6,9-triethyl-3,6,9-trimethyl-1,2,4,5,7,8-hexaoxacyclononane 	59200
2476-37-1	2',5'-dichloroacetophenone 	66300
24880-48-6	(Z) 7-hexadecen-1-ol 	110200
250-21-5	tricyclo[3.3.0.02,6]octane 	39100
2510-99-8	ethyl 2-phenylpropionate 	64000
2523-37-7	9-methylfluorene 	69500
25273-42-1	trans 3,3,3-trifluoro-N,N-bis(trifluoromethyl)propenylamine 	28200
25273-51-2	cis 2-fluoro-N,N-bis(trifluoromethyl)vinylamine 	29100
2528-38-3	tripentyl phosphate 	91500
2528-39-4	trihexyl phosphate 	104900
2528-45-2	tri-sec-butyl phosphate 	70100
253-52-1	phthalazine 	70000
253-82-7	quinazoline 	59300
2530-10-4	3-acetyl-2,5-dimethylthiophene 	61300
25310-92-3	1,1-dimethoxy-1-phenylpropane 	58900
2532-58-3	cis 1,3-dimethylcyclopentane 	34300
25415-67-2	4-methylvaleric acid, ethyl ester 	45400
25449-61-0	1,1,1-trifluoro-2-(1,1,2-trifluoroethoxy)ethane 	35400
2566-89-4	methyl Z,Z,Z 11,14,17-eicosadieneoate 	122600
2566-90-7	Z,Z,Z,Z,Z,Z 4,7,10,13,16,19-docosahexaeneoate 	131800
2568-90-3	dibutyoxymethane 	48100
2570-26-5	pentadecanenitrile 	88100
2581-34-2	3-methyl-4-nitrophenol 	85800
25859-51-2	isopropyl 3-methylbut-2-enoate 	50000
25899-50-7	(Z) 2-pentenenitrile 	43200
261-31-4	thioxanthene 	77800
26103-08-2	2-difluoromethoxy-1,1,1,3,3,3-hexafluoropropane 	31100
2613-61-8	2,4,6-trimethylheptane 	46400
2613-65-2	trans 1-ethyl-3-methylcyclopentane 	38900
2613-66-3	cis 1-ethyl-3-methylcyclopentane 	39300
26171-83-5	(±) 1,2-butanediol 	71800
262-20-4	phenoxathiin 	77300
2627-86-3	(-)alpha-methylbenzylamine 	54600
26294-98-4	(E) 2-pentenenitrile 	44900
26348-85-6	methyl (trifluoromethyl)phosphinous acid, tert-butyl ester 	39700
264-35-2	2-hexyne 	35900
26459-85-8	2-ethoxy-1,1,1-trinitropropane 	57700
26535-66-0	6-chlorododecane 	65500
26555-56-5	2-cyclopentene-1-carbonitrile 	44900
26675-46-7	2-chloro-1,1,1-trifluoro-2-(difluoromethoxy)ethane 	31900
26719-47-1	ditetradecyl sebacate 	170600
26719-48-2	dihexadecyl sebacate 	183800
2675-88-9	N-methyl-2-methylpropionamide 	67100
2690-08-6	dioctyl sulfide 	95000
26902-55-6	hexacyclopropylethane 	85800
271-58-9	benz[a]isoxazole 	55300
271-89-6	2,3-benzofuran 	48800
2734-47-6	methyl Z,Z,Z,Z,Z 5,8,11,14,17-eicosapentaeneoate 	121000
2736-37-0	isobutyryl bromide 	45700
2738-19-4	2-methyl-2-hexene 	35600
274-76-0	imidazo[1,2-a]pyridine 	65000
275-02-5	1,2,4-triazolo[1,5-a]pyrimidine 	72300
275-51-4	azulene 	52800
27617-66-1	(S) 2-chloropropionic acid 	64900
27656-49-1	trans 2,2,4,6,6-pentamethyl-3-heptene 	65900
27656-50-4	cis 2,2,4,6,6-pentamethyl-3-heptene 	63200
277-10-1	cubane 	44600
278-06-8	tetracyclo[3.2.0.02,7.04,6]heptane 	37600
2780-59-8	3,6-diethyl-3,6-dimethyl-1,2,4,5-tetraoxacyclohexane 	45100
279-19-6	tricyclo[2.2.1.02,6]heptane 	38500
27998-49-8	1,2-bicyclopropylacetylene 	47600
2807-30-9	2-propoxyethanol 	52100
28079-04-1	(Z) 8-dodecenyl acetate 	80200
2809-67-8	2-octyne 	44500
2809-69-0	2,4-hexadiyne 	42500
281-23-2	adamantane 	50000
2810-04-0	ethyl 2-thiophenecarboxylate 	58900
2817-71-2	1-ethylpyrazole 	53300
28282-35-1	cis bicyclo[4.2.0]octane 	42700
28304-66-7	(Z) 5-ethylidene-2-norbornene 	44300
2845-89-8	3-chloroanisole 	53600
28469-92-3	2,6-dichlorostyrene 	53800
285-58-5	cis bicyclo[3.1.0]hexane 	33500
28540-79-6	(E) 7-tetradecenyl acetate 	89000
286-08-8	cis bicyclo[4.1.0]heptane 	40600
286-43-1	bicyclo[5.1.0]octane 	43500
28636-10-4	syn-tricyclo[4.2.0.02,5]octane 	41800
2867-05-2	alpha-thujene 	44800
2868-37-3	methyl cyclopropanecarboxylate 	42000
287-27-4	thiacyclobutane 	35800
287-92-3	cyclopentane 	28700
2870-04-0	1,3-dimethyl-2-ethylbenzene 	53900
288-14-2	isoxazole 	36900
288-32-4	imidazole 	71300
288-42-6	oxazole 	32500
2882-98-6	nonylcyclopentane 	70700
2883-02-5	nonylcyclohexane 	74700
289-80-5	pyridazine 	53700
289-95-2	pyrimidine 	49800
290-37-9	pyrazine 	40500
290-87-9	1,3,5-triazine 	38800
29072-93-3	propyl tert-butyl ether 	37400
291-64-5	cycloheptane 	38500
292-64-8	cyclooctane 	43300
29379-41-7	propyl octyl ether 	58800
294-62-2	cyclododecane 	62900
294-93-9	1,4,7,10-tetraoxacycldodecane 	65700
29412-62-2	1,4-dimethylcubane dicarboxylate 	88500
295-17-0	cyclotetradecane 	65300
29772-82-5	N-methyl-2,3-dimethyl-3-phenyl-2-butaneamine 	72200
29772-98-3	N,N-dimethyl-2,3-dimethyl-3-phenyl-2-butanamine 	66400
298-02-2	O,O-diethyl-S-[(ethylthio)methyl]dithiophosphate 	70800
298-03-3	O,O-diethyl-O-[2-(ethylthio)ethyl] thiophosphate 	78700
298-04-4	O,O-diethyl-S-[2-(ethylthio)ethyl] dithiophosphate 	76700
298-06-6	O,O-diethyl phosphorodithioate 	67700
29868-16-4	(E) 6-dodecenyl acetate 	80000
29878-49-7	cyclohexyl pivalate 	59000
29943-42-8	2,3,5,6-tetrahydropyran-4-one 	50700
300-57-2	allylbenzene 	46300
3001-72-7	1,5-diazabicyclo[4.3.0]non-5-ene 	61500
301-00-8	methyl linolenate 	106300
30221-56-8	5-chloro-1,2,3,4,5-pentafluoro-1,3-cyclopentadiene 	28700
30296-80-1	dimethyl 2,6-cuneanedicarboxylate 	89700
3040-44-6	1-piperidineethanol 	64200
30434-54-9	isobutyl 3-methylbut-2-enoate 	54700
3048-64-4	5-ethylidene-2-norbornene 	42300
306-78-0	1,1,2,2-tetrafluoro-1-(2,2,2-trifluoroethoxy)ethane 	34000
306-83-2	1,1,1-trifluoro-2,2-dichloroethane 	26600
306-94-5	perfluorodecalin 	41500
307-34-6	perfluorooctane 	40700
307-59-5	perfluorododecane 	64200
307-62-0	perfluorotetradecane 	77800
3072-03-5	dioctadecyl sebacate 	197700
3074-71-3	2,3-dimethylheptane 	43600
3074-75-7	2-methyl-4-ethylhexane 	42900
3074-76-8	3-methyl-3-ethylhexane 	42900
3074-77-9	3-methyl-4-ethylhexane 	43600
3074-78-0	2,6-dimethyl-1-heptene 	45900
30752-23-9	4-bromophenyl isobutyl ether 	66800
308-48-5	bis(nonafluorobutyl) ether 	40500
30842-90-1	3-methylisoxazole 	39800
310-45-2	spirocyclopropane-1,6-tricyclo[3.2.1.02,4]octane 	47800
310-71-4	2-chloro-1,1,2-trifluoroethyl ethyl ether 	37500
311-89-7	perfluorotributylamine 	60400
31252-42-3	4-benzylpiperidine 	74200
31508-44-8	methyl 2-phenylpropionate 	62000
3178-29-8	4-propylheptane 	48500
3179-63-3	3-dimethylamino-1-propanol 	57000
319-88-0	1,3,5-trichloro-2,4,6-trifluorobenzene 	53800
