CAS	Chemical	C1	C2	C3	C4	C5	Tmin	Tmax
13511-13-2	Propenylcyclohexene  	64.268	-7298.9	-5.9109	4.8482E-18	6	199	636
123-38-6	Propionaldehyde  	80.581	-5896.1	-8.9301	8.2236E-06	2	170	504.4
79-09-4	Propionic acid  	54.552	-7149.4	-4.2769	1.1843E-18	6	252.45	600.81
107-12-0	Propionitrile  	82.699	-6703.5	-9.1506	7.5424E-06	2	180.26	564.4
109-60-4	Propyl acetate  	115.16	-8433.9	-13.934	1.0346E-05	2	178.15	549.73
107-10-8	Propyl amine  	58.398	-5312.7	-5.2876	1.9913E-06	2	188.36	496.95
103-65-1	Propylbenzene  	91.379	-8276.8	-10.176	5.624E-06	2	173.55	638.35
115-07-1	Propylene  	43.905	-3097.8	-3.4425	9.9989E-17	6	87.89	364.85
110-74-7	Propyl formate  	104.08	-7535.9	-12.348	9.602E-06	2	180.25	538
75-33-2	2-Propyl mercaptan  	60.43	-5276.9	-5.6572	2.6039E-17	6	142.61	517
107-03-9	Propyl mercaptan  	62.165	-5624	-5.8595	2.0597E-17	6	159.95	536.6
57-55-6	1,2-Propylene glycol  	212.8	-15420	-28.109	2.1564E-05	2	213.15	626
106-51-4	Quinone  	48.651	-7289.5	-3.4453	1.0068E-18	6	388.85	683
7783-61-1	Silicon tetrafluoride  	272.85	-9548.9	-40.089	6.3699E-15	6	186.35	259
100-42-5	Styrene  	105.93	-8685.9	-12.42	7.5583E-06	2	242.54	636
110-15-6	Succinic acid  	128.65	-16958	-13.872	2.1559E-18	6	460.65	806
7446-09-5	Sulfur dioxide  	47.365	-4084.5	-3.6469	1.799E-17	6	197.67	430.75
2551-62-4	Sulfur hexafluoride  	29.16	-2383.6	-1.1342	0	0	223.15	318.69
7446-11-9	Sulfur trioxide  	180.99	-12060	-22.839	7.235E-17	6	289.95	490.85
100-21-0	Terephthalic acid  	248.72	-32238	-30.009	4.795E-06	2	700.15	1113
84-15-1	o-Terphenyl  	110.52	-14045	-11.861	2.2121E-18	6	329.35	857
629-59-4	Tetradecane  	140.47	-13231	-16.859	6.5877E-06	2	279.01	693
109-99-9	Tetrahydrofuran  	54.898	-5305.4	-4.7627	1.4291E-17	6	164.65	540.15
119-64-2	1,2,3,4-Tetrahydronaphthalene 	137.23	-10620	-17.908	0.014506	1	237.38	720
110-01-0	Tetrahydrothiophene  	75.881	-6910.6	-7.9499	4.4315E-06	2	176.99	631.95
594-82-1	2,2,3,3-Tetramethylbutane  	57.963	-5901.5	-5.2048	9.1301E-18	6	373.96	568
110-02-1	Thiophene  	93.193	-7001.5	-10.738	8.2308E-06	2	234.94	579.35
108-88-3	Toluene  	76.945	-6729.8	-8.179	5.3017E-06	2	178.18	591.75
79-00-5	1,1,2-Trichloroethane  	54.153	-6041.8	-4.5383	4.9833E-18	6	236.5	602
629-50-5	Tridecane  	137.45	-12549	-16.543	7.1275E-06	2	267.76	675
121-44-8	Triethyl amine  	56.55	-5681.9	-4.9815	1.2363E-17	6	158.45	535.15
75-50-3	Trimethyl amine  	134.68	-6055.8	-19.415	0.028619	1	156.08	433.25
526-73-8	1,2,3-Trimethylbenzene  	78.341	-8019.8	-8.1458	3.8971E-06	2	247.79	664.5
95-63-6	1,2,4-Trimethylbenzene  	85.301	-8215.9	-9.2166	4.7979E-06	2	229.33	649.1
540-84-1	2,2,4-Trimethylpentane  	84.912	-6722.2	-9.5157	7.2244E-06	2	165.78	543.8
560-21-4	2,3,3-Trimethylpentane  	83.105	-6903.7	-9.1858	6.4703E-06	2	172.22	573.5
99-35-4	1,3,5-Trinitrobenzene  	506.33	-37483	-69.22	2.7381E-05	2	398.4	846
118-96-7	2,4,6-Trinitrotoluene  	302	-24324	-40.13	1.7403E-05	2	354	828
1120-21-4	Undecane  	131	-11143	-15.855	8.1871E-06	2	247.57	639
112-42-5	1-Undecanol  	182.571	-17112	-22.125	1.12835E-17	6	288.45	703.9
108-05-4	Vinyl acetate  	57.406	-5702.8	-5.0307	1.1042E-17	6	180.35	519.13
689-97-4	Vinyl acetylene  	55.682	-4439.3	-5.0136	1.965E-17	6	173.15	454
75-01-4	Vinyl chloride  	91.432	-5141.7	-10.981	1.4318E-05	2	119.36	432
75-94-5	Vinyl trichlorosilane  	54.571	-5561.5	-4.712	1.0702E-17	6	178.35	543.15
7732-18-5	Water  	73.649	-7258.2	-7.3037	4.1653E-06	2	273.16	647.096
108-38-3	m-Xylene  	85.099	-7615.9	-9.3072	5.5643E-06	2	225.3	617
95-47-6	o-Xylene  	90.405	-7955.2	-10.086	5.9594E-06	2	247.98	630.3
106-42-3	p-Xylene  	88.72	-7741.2	-9.8693	6.077E-06	2	286.41	616.2
