CASRN	Name	Tm	Tb	rho	RI
112-45-8	10-Undecenal				
112-47-0	1,10-Decanediol	345.55			
112-48-1	1,2-Dibutoxyethane	204.05	471.15	831.925	1.411225
112-49-2	Triethylene glycol dimethyl ether	229.35	491.15	986.2	1.42242
112-50-5	Triethylene glycol monoethyl ether		529.15	1020.92	
112-52-7	1-Chlorododecane	263.85	536.15	867.32	1.44342
112-53-8	1-Dodecanol	297.35	537.25	830.924	
112-54-9	Dodecanal	317.15		835.215	1.43522
112-55-0	1-Dodecanethiol	266.45	550.15	844.2	1.45892
112-56-1	2-(2-Butoxyethoxy)ethyl thiocyanate				
112-57-2	Tetraethylenepentamine		614.65		1.50422
112-58-3	Dihexyl ether		493.15	793.62	1.42042
112-59-4	Diethylene glycol monohexyl ether	245.15	532.15		
112-60-7	Tetraethylene glycol	263.75	588.15	1128.515	1.45772
112-61-8	Methyl stearate	311.85	626.15	849.84	1.43674
112-62-9	Methyl oleate	253.45	620.15	873.92	1.45222
112-63-0	Methyl linoleate	236.55	620.15	888.61	1.46382
112-64-1	Tetradecanoyl chloride	272.15		907.825	
112-66-3	Dodecyl acetate	274.35	538.15	865.222	1.44392
112-67-4	Hexadecanoyl chloride	285.15		901.625	1.45142
112-69-6	Hexadecyldimethylamine		603.15		
112-70-9	1-Tridecanol	304.15	560.15	822.331	
112-71-0	1-Bromotetradecane	278.85	580.15	1017.02	1.46032
112-72-1	1-Tetradecanol	310.85	568.95	823.638	
112-73-2	Diethylene glycol dibutyl ether	212.95	528.15	885.25	1.42352
112-76-5	Octadecanoyl chloride	296.15		896.9	1.452324
112-79-8	trans-9-Octadecenoic acid	317.15		873.445	1.449945
112-80-1	cis-9-Octadecenoic acid	287.15	633.15	893.52	1.45822
112-82-3	1-Bromohexadecane	290.65	609.15	999.12	1.461825
112-84-5	13-Docosenamide	367.15			
112-85-6	Docosanoic acid	353.75	693.15	822.39	1.42701
112-86-7	cis-13-Docosenoic acid	306.15		860.55	1.47582
112-88-9	1-Octadecene	291.15	588.65	789.12	1.44482
112-89-0	1-Bromooctadecane	300.75	630.15	984.82	1.46312
112-90-3	cis-9-Octadecenylamine	298.15			
112-91-4	cis-9-Octadecenenitrile	272.15		847.17	1.45662
112-92-5	1-Octadecanol	331.15	624.15	812.459	
112-95-8	Eicosane	309.63	617.25	788.62	1.44252
112-96-9	Octadecyl isocyanate	288.65			
112-99-2	Dioctadecylamine	346.05			
1120-16-7	Dodecanamide	374.15			1.428711
1120-21-4	Undecane	247.61	469.05	740.22	1.41642
1120-24-7	Dimethyldecylamine		507.15		
1120-28-1	Methyl eicosanoate	319.55	644.15		1.43176
1120-29-2	5,7-Dodecadiyne				
1120-34-9	Methyl cis-13-docosenoate	272.05	673.15		
1120-36-1	1-Tetradecene	260.27	524.25	774.525	1.43512
1120-48-5	Dioctylamine	293.15	580.85	796.326	1.441526
1120-49-6	Didecylamine		632.15		
1120-56-5	Methylenecyclobutane	138.63	315.15	740.12	1.42102
1120-59-8	2,3-Dihydrothiophene		385.15		
1120-62-3	3-Methylcyclopentene		338.15	757.225	1.42162
1120-64-5	2-Methyl-2-oxazoline		384.15	1005.25	1.43402
1120-71-4	1,3-Propane sultone				
1120-72-5	2-Methylcyclopentanone	198.15	413.15	913.92	1.43642
1120-73-6	2-Methyl-2-cyclopenten-1-one		432.15	980.816	1.476215
1120-87-2	4-Bromopyridine	273.65		1645	1.56942
1120-93-0	4H-Pyran-4-thione	322.15			
1120-94-1	4H-Thiopyran-4-thione	320.15			
1120-97-4	4-Methyl-1,3-dioxane	228.65	388.15	975.82	1.41592
1121-07-9	1-Methyl-2,5-pyrrolidinedione	344.15	507.15		
1121-18-2	2-Methyl-2-cyclohexen-1-one		451.65	966.2	1.48332
1121-22-8	trans-1,2-Cyclohexanediamine	287.95		951.2	
1121-24-0	2-Mercaptophenol	278.65	490.15	1237.1	
1121-31-9	2-Pyridinethiol, 1-oxide	343.65			
1121-37-5	Dicyclopropyl ketone		434.15	977.25	1.46702
1121-55-7	3-Vinylpyridine		435.15	987.92	1.55302
1121-58-0	N-Methyl-4-pyridinamine	391.95			
1121-60-4	2-Pyridinecarboxaldehyde		454.15	1118.125	1.538918
1121-92-2	Octahydroazocine	302.15		896.25	1.47202
1122-42-5	2-Iodo-1,4-dimethylbenzene		505.15	1616.817	1.599217
1122-54-9	1-(4-Pyridinyl)ethanone	289.15	497.15	1097.25	1.528225
1122-58-3	N,N-Dimethyl-4-pyridinamine	387.05			
1122-60-7	Nitrocyclohexane	239.15	478.15	1061.02	1.461219
1122-61-8	4-Nitropyridine	323.15			
1122-62-9	1-(2-Pyridinyl)ethanone		482.15	1077.25	1.52032
1122-72-1	6-Methyl-2-pyridinecarboxaldehyde	305.15			
1122-81-2	4-Propylpyridine		462.15	938.115	1.49662
1122-82-3	Cyclohexyl isothiocyanate		494.15	1033.92	1.53752
1122-83-4	N-Sulfinylaniline		473.15	1236.25	1.62702
1122-91-4	4-Bromobenzaldehyde	334.25			
1123-00-8	Cyclopentaneacetic acid	286.65	501.15	1021.618	1.452318
1123-09-7	3,5-Dimethyl-2-cyclohexen-1-one		481.65	940.02	1.48122
1123-27-9	1-(1-Hydroxycyclohexyl)ethanone		398.65	1024.825	1.467025
1123-34-8	1-Allylcyclohexanol		463.15	934.122	1.475622
1123-63-3	4-Chloro-2,6-dimethylphenol	356.15			
1123-84-8	2,5-Dichlorostyrene	281.15		1246.2	1.57982
1123-85-9	2-Phenyl-1-propanol			975.25	1.55822
1123-95-1	4-Amino-5-(hydroxymethyl)-2(1H)-pyrimidinone				
1124-05-6	1,4-Dichloro-2,5-dimethylbenzene	344.15	495.15		
1124-06-7	4-Chloro-2,5-dimethylphenol	347.65			
1124-11-4	Tetramethylpyrazine	358.45	466.15		
1124-33-0	4-Nitropyridine 1-oxide	433.65			
1125-78-6	5,6,7,8-Tetrahydro-2-naphthol	332.15	548.65	1055.265	
1125-80-0	3-Methylisoquinoline	336.55	526.15		
1126-09-6	Ethyl 4-piperidinecarboxylate				1.45912
1126-46-1	Methyl 4-chlorobenzoate	316.65		1382.2	
1126-78-9	N-Butylaniline	258.75	527.15	932.32	1.53412
1126-79-0	Butyl phenyl ether	253.75	483.15	935.12	1.49692
1127-76-0	1-Ethylnaphthalene	259.25	531.15	1008.22	1.60622
1128-08-1	3-Methyl-2-pentyl-2-cyclopenten-1-one			916.518	1.47672
1129-47-1	Cyclohexyl 2-methylpropanoate		477.15	948.9	
1129-50-6	N-Phenylbutanamide	370.15		1134.25	
1129-89-1	cis-Cyclododecene				1.48402
113-00-8	Guanidine	323.15			
113-15-5	Ergotamine				
113-18-8	Ethchlorvynol		454.15	1072.5	1.47425
113-24-6	Sodium 2-oxopropanoate				
113-42-8	Methylergonovine	445.15			
113-45-1	Methylphenidate				
113-48-4	MGK 264	253.15	430.15	1040	
113-52-0	Imipramine hydrochloride	447.65			
113-53-1	Dothiepin	329.15			
113-59-7	Chlorprothixene	370.25			
113-92-8	Chlorpheniramine maleate	405.65			
1131-16-4	3,5-Dimethyl-1-phenyl-1H-pyrazole		545.15	1056.62	1.573819
1131-18-6	3-Methyl-1-phenyl-1H-pyrazol-5-amine	389.15	606.15		
1131-60-8	4-Cyclohexylphenol	403.75	567.15		
1131-62-0	1-(3,4-Dimethoxyphenyl)ethanone	324.15	560.15		
1132-21-4	3,5-Dimethoxybenzoic acid	458.65			
1132-39-4	Diphenyl selenide	274.45	574.65	1351.2	1.55002
1134-23-2	Cycloate	284.65		1015.63	
1134-35-6	4,4'-Dimethyl-2,2'-bipyridine	444.65			
1134-62-9	2-Butylnaphthalene	266.15	559.15	967.32	1.57772
1135-12-2	4-Benzylaniline	307.65	573.15	1038.25	
1135-66-6	Isolongifolene				
1136-89-6	1-Naphthyl phosphate	433.15			
1137-41-3	4-Aminobenzophenone	396.15			
1137-42-4	4-Hydroxybenzophenone	408.15		1133.172	
1138-52-9	3,5-Di-tert-butylphenol	361.15			
1138-80-3	Benzyloxycarbonylglycine	394.15			
114-03-4	5-Hydroxy-DL-tryptophan				
114-07-8	Erythromycin	464.15			
114-25-0	Biliverdine	573.15			
114-26-1	Propoxur	363.65		1122	
114-80-7	Neostigmine bromide				
114-83-0	Acetic acid, 2-phenylhydrazide	403.15			
114-91-0	2-(2-Methoxyethyl)pyridine		476.15	988.2	1.49752
1141-38-4	2,6-Naphthalenedicarboxylic acid				
1141-59-9	4-(2'-Pyridylazo)resorcinol				
1141-88-4	Bis(2-aminophenyl)disulfide	366.15			
1142-19-4	Bis(4-chlorophenyl) disulfide	345.95			
1142-39-8	4-(Hexyloxy)benzoic acid	379.15			
1142-70-7	5-(2-Bromoallyl)-5-sec-butylbarbituric acid	404.65			
1143-38-0	1,8,9-Anthracenetriol	452.15			
1143-72-2	2,3,4-Trihydroxybenzophenone	413.65			
114369-43-6	Fenbuconazole	398.15			
1144-74-7	(4-Nitrophenyl)phenylmethanone	411.15		1406.9	
114489-96-2	Isobutyl 2-chloropropanoate		449.15	1031.22	1.42472
1145-01-3	3,5-Diphenyl-1H-pyrazole	473.15			
1146-98-1	2-(4-Bromophenyl)-1H-indene-1,3(2H)-dione	411.15			
1146-99-2	2-(4-Chlorophenyl)-1H-indene-1,3(2H)-dione	418.65			
1148-11-4	Benzyl 1,2-pyrrolidinedicarboxylate, (S)-	351.65			1.53102
1148-79-4	2,2':6',2''-Terpyridine	361.15	643.15		
1149-16-2	Glyoxal bis(2-hydroxyanil)	475.15			
1149-24-2	Diethyl 2,6-dimethyl-3,5-pyridinedicarboxylate	344.15	574.15		
115-02-6	Azaserine				
115-07-1	Propene	87.85	225.55		
115-10-6	Dimethyl ether	131.66	248.35		
115-11-7	Isobutene	132.45	266.15		
115-17-3	Tribromoacetaldehyde		446.15	2664.925	1.59392
115-18-4	2-Methyl-3-buten-2-ol	232.15	372.45	822	
115-19-5	2-Methyl-3-butyn-2-ol	276.15	378.85	861.82	1.42072
115-20-8	2,2,2-Trichloroethanol	292.15	424.15		1.48612
115-21-9	Trichloroethylsilane	167.55	371.85	1237.32	1.42562
115-22-0	3-Hydroxy-3-methyl-2-butanone		421.55	952.62	
115-24-2	Sulfonmethane	398.95			
115-25-3	Perfluorocyclobutane	232.99	267.24		
115-26-4	Dimefox			1115.12	1.42672
115-27-5	Chlorendic anhydride	508.15			
115-28-6	Chlorendic acid	505.15			
115-29-7	Endosulfan	379.15		1745.2	
115-31-1	Isobornyl thiocyanoacetate			1146.525	1.51225
115-32-2	1,1-Bis(4-chlorophenyl)-2,2,2-trichloroethanol	348.25			
115-37-7	Thebaine	466.15		1305.2	
115-38-8	Mephobarbital	449.15			
115-39-9	Bromophenol Blue				
115-40-2	Bromocresol Purple	514.65			
115-43-5	5-Allyl-5-phenyl-2,4,6(1H,3H,5H)-pyrimidinetrione	429.65			
115-44-6	Talbutal	382.15			
115-53-7	Sinomenine	435.15			
115-56-0	5-Ethyl-5-(2-methylallyl)-2-thiobarbituric acid	433.65			
115-61-7	Tachysterol				
115-63-9	Hexocyclium methyl sulfate	478.15			
115-67-3	Paramethadione			1121.25	1.44925
115-69-5	2-Amino-2-methyl-1,3-propanediol	384.08			
115-70-8	2-Amino-2-ethyl-1,3-propanediol	310.65		1099.2	1.4902
115-71-9	α-Santalol		574.65	967.92	1.50232
115-76-4	2,2-Diethyl-1,3-propanediol	334.45	517.15	1050.2	1.457425
115-77-5	Pentaerythritol	531.15			1.548
115-80-0	1,1,1-Triethoxypropane		444.15		1.400025
115-84-4	2-Butyl-2-ethyl-1,3-propanediol	316.15	542.15	927.5	1.458725
115-86-6	Triphenyl phosphate	322.54		1205.55	
115-88-8	Octyl diphenyl phosphate			1092.5	
115-90-2	Fensulfothion			1202.2	
115-95-7	Linalyl acetate		494.15	895.2	1.44602
115-96-8	Tris(2-chloroethyl) phosphate		603.15	1392.5	1.47212
1151-15-1	2-(4-Methoxybenzoyl)benzoic acid	419.15			
1152-61-0	N-[(Phenylmethoxy)carbonyl]-L-aspartic acid	390.15			
1153-05-5	Triphenylarsine oxide	465.15	597.15		
1154-59-2	3,3',4',5-Tetrachlorosalicylanilide	434.15			
1155-00-6	Bis(2-nitrophenyl) disulfide	471.65			
1156-19-0	Tolazamide	445.15			
1159-53-1	4-Methyl-N,N-bis(4-methylphenyl)aniline	388.15			
116-01-8	Ethoate-methyl	340.15			
116-06-3	Aldicarb	374.25		1195.25	
116-09-6	1-Hydroxy-2-propanone	256.15	418.65	1080.52	1.42952
116-11-0	2-Methoxy-1-propene		308.85	737.22	
116-14-3	Tetrafluoroethene	142.01	197.15		
116-15-4	Perfluoropropene	116.65	242.95		
116-16-5	Hexachloroacetone	272.15	476.15	1743.412	1.51122
116-17-6	Triisopropyl phosphite			906.32	1.408525
116-26-7	Safranal			973.419	1.528119
116-29-0	Tetradifon	420.05		1151.2	
116-31-4	Retinal (all trans)	337.15			
116-38-1	Edrophonium chloride	435.15			
116-43-8	Succinylsulphathiazole	466.65			
116-44-9	4-Amino-N-pyrazinylbenzenesulfonamide	524.15			
116-52-9	N,N'-Bis(2,2,2-trichloro-1-hydroxyethyl)urea	469.15			
116-54-1	Methyl dichloroacetate	221.25	400.15	1377.42	1.44292
116-58-5	11,17,20,21-Tetrahydroxypregn-4-en-3-one, (11β,20R)-				
116-63-2	4-Amino-3-hydroxy-1-naphthalenesulfonic acid				
116-71-2	Anthra[9,1,2-cde]benzo[rst]pentaphene-5,10-dione				
116-81-4	1-Amino-4-bromo-9,10-dihydro-9,10-dioxo-2-anthracenesulfonic acid				
116-85-8	1-Amino-4-hydroxy-9,10-anthracenedione	489.65			
1162-65-8	Aflatoxin B1	541.15			
1163-19-5	Decabromobiphenyl ether	578.15			
1165-39-5	Aflatoxin G1	518.15			
1165-48-6	Dimefline	382.65			
1166-52-5	Dodecyl 3,4,5-trihydroxybenzoate	369.65			
116724-11-9	sec-Butyl isothiocyanate, (±)-		432.65	944.12	
116783-23-4	sec-Butyl methyl ether		332.25	741.52	1.368025
116836-32-9	sec-Butyl pentanoate		447.65	860.52	1.40702
116908-82-8	DL-α-Rhamnose	424.15			
117-08-8	Tetrachlorophthalic anhydride	527.65		1492.75	
117-10-2	1,8-Dihydroxy-9,10-anthracenedione	466.15			
117-11-3	1-Amino-5-chloro-9,10-anthracenedione	485.15			
117-12-4	1,5-Dihydroxy-9,10-anthracenedione	553.15			
117-14-6	9,10-Dihydro-9,10-dioxo-1,5-anthracenedisulfonic acid				
117-18-0	1,2,4,5-Tetrachloro-3-nitrobenzene	373.55	577.15	1744.25	
117-27-1	2-Nitro-1,1-bis(p-chlorophenyl)propane	355.15			
117-34-0	α-Phenylbenzeneacetic acid	420.41		1257.15	
117-37-3	2-(4-Methoxyphenyl)-1H-indene-1,3(2H)-dione	429.65			
117-39-5	Quercetin	595.15			
117-62-4	2-Amino-1,5-naphthalenedisulfonic acid	573.15			
117-73-7	Raunescine	438.15			
117-78-2	9,10-Dihydro-9,10-dioxo-2-anthracenecarboxylic acid	564.15			
117-79-3	2-Amino-9,10-anthracenedione	577.65			
117-80-6	2,3-Dichloro-1,4-naphthalenedione	469.55			
117-81-7	Bis(2-ethylhexyl) phthalate	218.15	657.15	981.25	1.48532
117-82-8	Bis(2-methoxyethyl) phthalate	213.15		1159.62	
117-83-9	Bis(2-butoxyethyl) phthalate		682.15		
117-84-0	Dioctyl phthalate	298.15	688.15		
117-89-5	Trifluoperazine				
117-92-0	Quinaldine Red				
117-93-1	N-(2-Hydroxy-1-naphthyl)acetamide				
117-96-4	Diatrizoic acid	573.15			
117-99-7	(2-Hydroxyphenyl)phenylmethanone	308.15			
1170-76-9	Benzyloxycarbonylglycyl-L-phenylalanine	399.15			
1174-72-7	Phenyl silicate	322.15	690.15	1141.26	
1176-74-5	3',3'',5',5''-Tetrabromophenolphthalein ethyl ester	483.15			
118-00-3	Guanosine				
118-08-1	Hydrastine	405.15			
118-10-5	Cinchonine	538.15			
118-12-7	1,3,3-Trimethyl-2-methyleneindoline		517.15		
118-29-6	N-(Hydroxymethyl)phthalimide	414.65			
118-31-0	1-Naphthalenemethanamine		565.15	1095.82	
118-32-1	7-Hydroxy-1,3-naphthalenedisulfonic acid				
118-34-3	Syringin	465.15			
118-41-2	3,4,5-Trimethoxybenzoic acid	444.15			
118-44-5	N-Ethyl-1-naphthalenamine		578.15	1065.215	1.647715
118-46-7	8-Amino-2-naphthol	479.15			
118-48-9	2H-3,1-Benzoxazine-2,4(1H)-dione				
118-52-5	1,3-Dichloro-5,5-dimethyl hydantoin	405.15		1520	
118-55-8	Phenyl salicylate	314.97		1261.43	
118-58-1	Benzyl salicylate		593.15	1179.92	1.58052
118-60-5	2-Ethylhexyl 2-hydroxybenzoate			1010	
118-61-6	Ethyl salicylate	318.15		1132.62	1.52962
118-69-4	2,6-Dichlorotoluene	298.95	467.15	1268.62	1.55072
118-71-8	3-Hydroxy-2-methyl-4H-pyran-4-one	434.65			
118-74-1	Hexachlorobenzene	503.15	598.15	2044.23	1.569123
118-75-2	2,3,5,6-Tetrachloro-2,5-cyclohexadiene-1,4-dione	571.45			
118-78-5	5-Amino-2,4,6(1H,3H,5H)-pyrimidinetrione	673.15			
118-79-6	2,4,6-Tribromophenol	368.15	559.15	2552	
118-82-1	4,4'-Methylenebis[2,6-di-tert-butylphenol]	427.15			
118-90-1	o-Toluic acid	376.55	532.65	1062.115	1.512115
118-91-2	2-Chlorobenzoic acid	413.55	547.15	1544.2	
118-92-3	Aniline-2-carboxylic acid	417.75		1412.2	
118-93-4	1-(2-Hydroxyphenyl)ethanone	275.65	491.15	1130.72	1.55842
118-96-7	2,4,6-Trinitrotoluene	354.05	623.15	1654.25	
1184-58-3	Chlorodimethylaluminum	228.15	399.15	996	
1184-60-7	2-Fluoropropene		249.15		
1184-78-7	Trimethylamine oxide	529.15			
1185-33-7	2,2-Dimethyl-1-butanol	258.15	410.15	828.32	1.42082
1185-39-3	2,2-Dimethylpentanoic acid			918.92	
1185-55-3	Trimethoxymethylsilane		375.65	954.82	1.36962
1185-81-5	Dibutylbis(dodecylthio)stannane			1052	
1186-53-4	2,2,3,4-Tetramethylpentane	151.85	406.15	738.92	1.41472
1187-03-7	Tetraethylurea		481.15	919.2	1.44742
1187-42-4	cis-2,3-Diamino-2-butenedinitrile	451.65		1412	
1187-58-2	N-Methylpropanamide	242.25	480.15	930.525	1.434525
1188-01-8	Glycylalanine				
1188-33-6	1,1-Diethoxy-N,N-dimethylmethanamine		402.15	859.25	1.40072
1188-37-0	N-Acetylglutamic acid	472.15			
1189-08-8	1,3-Butanediol dimethacrylate		563.15		1.449525
1189-11-3	N-Phospho-L-arginine	450.15			
1189-71-5	Sulfuryl chloride isocyanate	229.15	380.15	1626.25	1.44672
1189-85-1	tert-Butyl chromate	268.15			
1189-99-7	2,5,5-Trimethylheptane		426.15	736.225	1.41492
119-06-2	Ditridecyl phthalate			952.25	
119-13-1	δ-Tocopherol				
119-15-3	4-[(2,4-Dinitrophenyl)amino]phenol	468.65			
119-20-0	Rhizopterin	573.15			
119-26-6	(2,4-Dinitrophenyl)hydrazine	474.75			
119-27-7	1-Methoxy-2,4-dinitrobenzene	369.05		1336.4131	1.54615
119-28-8	8-Amino-2-naphthalenesulfonic acid				
119-32-4	4-Methyl-3-nitroaniline	351.15			
119-33-5	4-Methyl-2-nitrophenol	309.65		1239.92	1.57444
119-34-6	4-Amino-2-nitrophenol	404.15			
119-36-8	Methyl salicylate	264.65	495.75	1181.25	1.5352
119-38-0	Isolan			1072	
119-41-5	Efloxate	396.85			
119-42-6	2-Cyclohexylphenol	327.85			
119-44-8	Xanthopterin			1559.25	
119-47-1	Bis(2-hydroxy-3-tert-butyl-5-methylphenyl)methane	404.15			
119-48-2	Dimorpholamine	314.65			
119-51-7	1-Phenyl-1,2-propanedione, 2-oxime	388.15			
119-52-8	4,4'-Dimethoxybenzoin	382.15			
119-56-2	4-Chloro-α-phenylbenzenemethanol	332.15			
119-58-4	Bis(4-dimethylaminophenyl)methanol	375.15			
119-59-5	Bis(4-aminophenyl) sulfoxide				
119-60-8	Dicyclohexylmethanone	330.15		986	1.48602
119-61-9	Benzophenone	321.15	579.05	1111.18	1.607719
119-64-2	1,2,3,4-Tetrahydronaphthalene	237.39	480.35	964.525	1.54132
119-65-3	Isoquinoline	299.61	516.35	1091.03	1.61482
119-67-5	2-Formylbenzoic acid	373.65		1404.25	
119-68-6	2-(Methylamino)benzoic acid	453.65			
119-75-5	2-Nitro-N-phenylaniline	348.05		1366.02	
119-80-2	2,2'-Dithiobisbenzoic acid	562.65			
119-84-6	3,4-Dihydro-2H-1-benzopyran-2-one	298.15	545.15	1169.18	1.55632
119-90-4	3,3'-Dimethoxybenzidine	410.15			
119-91-5	2,2'-Biquinoline	469.15			
119-93-7	o-Tolidine	404.15			
1190-22-3	1,3-Dichlorobutane		406.85	1115.82	1.44452
1190-39-2	Dibutyl malonate	178.15	526.15	982.42	1.42622
1190-63-2	Hexadecyl stearate	329.95			1.44107
1190-76-7	cis-2-Butenenitrile		379.15		
1190-83-6	2,2,6-Trimethylheptane	168.15	422.15	720.025	1.40782
1191-04-4	2-Hexenoic acid	309.65	489.65	965.2	1.44604
1191-08-8	1,4-Butanedithiol	219.25	468.65	1002.1	1.52902
1191-15-7	Diisobutylaluminum hydride				
1191-25-9	6-Hydroxyhexanoic acid				
1191-41-9	Ethyl cis,cis,cis-9,12,15-octadecatrienoate		630.15	891.92	1.46942
1191-43-1	1,6-Hexanedithiol	252.15	510.15	988.625	1.51102
1191-80-6	Mercury(II) oleate				
1191-95-3	Cyclobutanone	222.25	371.95	954.7	1.42152
1191-96-4	Ethylcyclopropane	123.75	309.15	679.025	1.37862
1191-99-7	2,3-Dihydrofuran		327.65	927.25	1.42392
1192-18-3	cis-1,2-Dimethylcyclopentane	219.48	372.65	768.025	1.42222
1192-28-5	Cyclopentanone oxime	330.95	469.15		
1192-30-9	2-(Bromomethyl)tetrahydrofuran		443.15	1467.92	1.48502
1192-37-6	Methylenecyclohexane	168.45	376.15	807.42	1.45232
1192-62-7	1-(2-Furanyl)ethanone	301.65	448.15	1098.2	1.50172
1192-88-7	1-Cyclohexene-1-carboxaldehyde			969.42	1.50052
1193-02-8	4-Aminobenzenethiol	319.15			
1193-18-6	3-Methyl-2-cyclohexen-1-one	252.15	474.15	969.32	1.494752
1193-47-1	2,2-Dimethylcyclohexanone	252.65	445.15	914.52	1.44862
1193-81-3	α-Methylcyclohexanemethanol		462.15	928.25	1.46562
1193-82-4	(Methylsulfinyl)benzene	305.15	536.65		1.58852
1194-02-1	4-Fluorobenzonitrile	307.95	461.95	1107.055	1.492555
1194-65-6	2,6-Dichlorobenzonitrile	416.75	543.15		
1194-98-5	2,5-Dihydroxybenzaldehyde	373.15			
119446-68-3	Difenoconazole	349.15			
1195-32-0	1-Methyl-4-(1-methylvinyl)benzene	253.15	459.15	893.623	1.528323
1195-42-2	Cyclohexylisopropylamine			859.25	1.44802
1196-57-2	2(1H)-Quinoxalinone	542.55	634.15		
1197-18-8	trans-4-(Aminomethyl)cyclohexanecarboxylic acid	522.15			
1197-37-1	4-Ethoxy-1,2-benzenediamine	344.65	568.15		
1197-55-3	4-Aminobenzeneacetic acid	468.15			
1198-37-4	2,4-Dimethylquinoline		540.15	1061.115	1.60752
1198-55-6	3,4,5,6-Tetrachloro-1,2-benzenediol	467.15			
1198-59-0	1,2-Dichloro-3,4,5,6-tetrafluorobenzene		430.85		
120-07-0	N-Phenyl-N,N-diethanolamine	330.15		1201.6	
120-12-7	Anthracene	489.15	614.45	1282.5	
120-14-9	3,4-Dimethoxybenzaldehyde	316.15	554.15		
120-15-0	1,2,3,4-Tetrahydro-6-methoxyquinoline	315.65	557.15		1.57182
120-18-3	2-Naphthalenesulfonic acid	364.15		1441.25	
120-20-7	3,4-Dimethoxybenzeneethanamine				1.54642
120-21-8	4-(Diethylamino)benzaldehyde	314.15			
120-22-9	N,N-Diethyl-4-nitrosoaniline	360.65		1241.5	
120-23-0	(2-Naphthyloxy)acetic acid	429.35			
120-25-2	4-Ethoxy-3-methoxybenzaldehyde	337.65			
120-29-6	Tropine	336.15	506.15	1016.1	1.48111
120-32-1	Clorophene	321.65		1185.58	
120-36-5	2-(2,4-Dichlorophenoxy)propanoic acid	389.75			
120-40-1	N,N-Bis(2-hydroxyethyl)dodecanamide	311.85			
120-43-4	Ethyl 1-piperazinecarboxylate		510.15		1.476025
120-46-7	1,3-Diphenyl-1,3-propanedione	350.15			
120-47-8	Ethyl 4-hydroxybenzoate	390.15	570.65		
120-50-3	Isobutyl benzoate		513.15	999.02	
120-51-4	Benzyl benzoate	292.15	594.45	1112.125	1.56802
120-55-8	Diethylene glycol dibenzoate	306.65		1169.015	
120-57-0	1,3-Benzodioxole-5-carboxaldehyde	310.15	536.15		
120-61-6	Dimethyl terephthalate	413.752	561.15	1075.141	
120-62-7	Piperonyl sulfoxide				1.53025
120-66-1	N-(2-Methylphenyl)acetamide	383.15	569.15	1168.15	
120-70-7	2,2'-[1,3-Propanediylbis(nitrilomethylidyne)]bisphenol	327.45			
120-71-8	2-Methoxy-5-methylaniline	326.15	508.15		
120-72-9	1H-Indole	325.45	527.15	1222.5	
120-73-0	1H-Purine	489.65			
120-75-2	2-Methylbenzothiazole	287.15	511.15	1176.319	1.609219
120-78-5	Mercaptobenzthiazyl ether	453.15		1500	
120-80-9	Pyrocatechol	377.75	519.15	1344.2	1.60425
120-82-1	1,2,4-Trichlorobenzene	290.15	486.65	1459.25	1.57172
120-83-2	2,4-Dichlorophenol	316.15	483.15		
120-85-4	1,2,4-Trimethylpiperazine		422.65		1.44332
120-87-6	9,10-Dihydroxyoctadecanoic acid	363.15			
120-89-8	Imidazolidinetrione	520.15			
120-92-3	Cyclopentanone	221.45	403.65	948.72	1.43662
120-93-4	2-Imidazolidinone	404.85			
120-94-5	N-Methylpyrrolidine		479.25	818.82	1.42472
120-95-6	2,4-Bis(1,1-dimethylpropyl)phenol	299.15			
120-97-8	4,5-Dichloro-1,3-benzenedisulfonamide	501.85			
1200-03-9	(4-Bromobutoxy)benzene	314.15			
1200-14-2	4-Butylbenzaldehyde				1.5265
12002-28-7	Tetracarbonyldihydroiron	203.15			
1201-26-9	1-(1H-Indol-3-yl)-2-propanone	389.15			
1201-38-3	2',5'-Dimethoxyacetophenone	294.15		1139	1.54412
1201-99-6	3-(2,4-Dichlorophenyl)-2-propenoic acid	507.15			
1202-34-2	N-2-Pyridinyl-2-pyridinamine	363.65	580.65		
1204-06-4	3-(1H-Indol-3-yl)-2-propenoic acid				
1204-28-0	1,2,4-Benzenetricarboxylic acid 1,2-anhydride, 4-chloride	339.15			
1205-02-3	N-Benzoyl-DL-alanine	438.65			
1205-64-7	3-Methyl-N-phenylaniline	303.15	589.15		1.63502
1205-91-0	1,4-Benzenediol, diacetate	396.65		873.125	
1207-69-8	9-Chloroacridine	394.15			
1207-72-3	10-Methyl-10H-phenothiazine	374.15			
12075-68-2	Trichlorotriethyldialuminum				
12079-65-1	Manganese cyclopentadienyl tricarbonyl	350.15			
1208-52-2	2,4'-Methylenedianiline	361.15			
12093-10-6	Formylferrocene	391.65			
121-00-6	2-tert-Butyl-4-methoxyphenol				
121-03-9	2-Methyl-5-nitrobenzenesulfonic acid	408.95			
121-06-2	Tris(2,6-dimethylphenyl) phosphate	410.95			
121-14-2	1-Methyl-2,4-dinitrobenzene	342.75		1320.871	1.442
121-17-5	1-Chloro-2-nitro-4-(trifluoromethyl)benzene	271.85	495.15	1511.25	1.48932
121-19-7	3-Nitro-4-hydroxyphenylarsonic acid	573.15			
121-21-1	Pyrethrin I			1519.218	1.519218
121-29-9	Pyrethrin II				1.52582
